2015-01-02,46.76,46.66,47.42,46.54,27910000.0,0.0067
2015-01-03,0,0,0,0,0,0
2015-01-04,0,0,0,0,0,0
2015-01-05,46.33,46.37,46.73,46.25,39670000.0,-0.0092
2015-01-06,45.65,46.38,46.75,45.54,36450000.0,-0.0147
2015-01-07,46.23,45.98,46.46,45.49,29110000.0,0.0127
2015-01-08,47.59,46.75,47.75,46.72,29650000.0,0.0294
2015-01-09,47.19,47.61,47.82,46.9,23940000.0,-0.0084
2015-01-10,0,0,0,0,0,0
2015-01-11,0,0,0,0,0,0
2015-01-12,46.6,47.42,47.54,46.36,23650000.0,-0.0125
2015-01-13,46.35,46.97,47.91,46.06,35270000.0,-0.0054
2015-01-14,45.95,45.96,46.24,45.62,29720000.0,-0.0086
2015-01-15,45.48,46.22,46.38,45.41,32750000.0,-0.0102
2015-01-16,46.24,45.31,46.28,45.17,35700000.0,0.0167
2015-01-17,0,0,0,0,0,0
2015-01-18,0,0,0,0,0,0
2015-01-19,0,0,0,0,0,0
2015-01-20,46.39,46.3,46.65,45.57,36160000.0,0.0032
2015-01-21,45.92,45.94,46.14,45.48,39080000.0,-0.0101
2015-01-22,47.13,46.38,47.13,46.08,35900000.0,0.0264
2015-01-23,47.18,47.36,47.39,46.8,26210000.0,0.0011
2015-01-24,0,0,0,0,0,0
2015-01-25,0,0,0,0,0,0
2015-01-26,47.01,47.0,47.13,46.24,42530000.0,-0.0036
2015-01-27,42.66,42.95,43.2,42.1,169160000.0,-0.0925
2015-01-28,41.19,42.74,42.79,41.16,84510000.0,-0.0345
2015-01-29,42.01,40.93,42.12,40.79,63590000.0,0.0199
2015-01-30,40.4,41.55,41.58,40.35,78000000.0,-0.0383
2015-01-31,0,0,0,0,0,0
2015-02-01,0,0,0,0,0,0
2015-02-02,41.28,40.59,41.37,40.23,50350000.0,0.0218
2015-02-03,41.6,41.63,41.93,41.05,52080000.0,0.0078000000000000005
2015-02-04,41.84,41.94,42.21,41.36,41610000.0,0.0058
2015-02-05,42.45,42.22,42.64,41.85,36550000.0,0.0146
2015-02-06,42.41,42.68,42.79,42.15,34620000.0,-0.0009
2015-02-07,0,0,0,0,0,0
2015-02-08,0,0,0,0,0,0
2015-02-09,42.36,42.24,42.74,42.21,31380000.0,-0.0012
2015-02-10,42.6,42.74,42.77,42.18,29670000.0,0.005699999999999999
2015-02-11,42.38,42.65,42.65,42.21,38260000.0,-0.0052
2015-02-12,43.09,42.66,43.09,42.51,33270000.000000004,0.0168
2015-02-13,43.87,43.38,43.87,43.15,40260000.0,0.0181
2015-02-14,0,0,0,0,0,0
2015-02-15,0,0,0,0,0,0
2015-02-16,0,0,0,0,0,0
2015-02-17,43.58,43.97,44.0,43.19,33700000.0,-0.0066
2015-02-18,43.53,43.63,43.7,43.39,27110000.0,-0.0011
2015-02-19,43.5,43.18,43.53,43.05,27600000.0,-0.0007000000000000001
2015-02-20,43.85,43.51,43.88,43.29,29720000.0,0.008
2015-02-21,0,0,0,0,0,0
2015-02-22,0,0,0,0,0,0
2015-02-23,44.15,43.7,44.19,43.65,32520000.000000004,0.0068000000000000005
2015-02-24,44.09,44.15,44.3,43.92,25270000.0,-0.0014000000000000002
2015-02-25,43.99,43.95,44.09,43.8,29760000.0,-0.0023
2015-02-26,44.05,43.99,44.23,43.89,28960000.0,0.0014000000000000002
2015-02-27,43.85,44.13,44.2,43.66,33810000.0,-0.0045000000000000005
2015-02-28,0,0,0,0,0,0
2015-03-01,0,0,0,0,0,0
2015-03-02,43.88,43.67,44.19,43.55,31920000.0,0.0007000000000000001
2015-03-03,43.28,43.56,43.83,43.09,31750000.0,-0.0137
2015-03-04,43.05,43.01,43.21,42.88,25750000.0,-0.0053
2015-03-05,43.11,43.07,43.24,42.82,23190000.0,0.0014000000000000002
2015-03-06,42.36,43.0,43.11,42.15,36250000.0,-0.0174
2015-03-07,0,0,0,0,0,0
2015-03-08,0,0,0,0,0,0
2015-03-09,42.85,42.19,43.12,42.19,32110000.0,0.0116
2015-03-10,42.03,42.35,42.71,42.03,39160000.0,-0.0191
2015-03-11,41.98,42.31,42.37,41.84,32220000.0,-0.0012
2015-03-12,41.02,41.33,41.65,40.86,59990000.0,-0.0229
2015-03-13,41.38,40.7,41.47,40.61,58010000.0,0.0088
2015-03-14,0,0,0,0,0,0
2015-03-15,0,0,0,0,0,0
2015-03-16,41.56,41.47,41.64,41.28,35270000.0,0.0043
2015-03-17,41.7,41.37,41.83,41.15,31670000.0,0.0034000000000000002
2015-03-18,42.5,41.43,42.83,41.33,44190000.0,0.0192
2015-03-19,42.28,42.26,42.59,42.22,33880000.0,-0.0052
2015-03-20,42.88,42.56,42.98,42.49,71900000.0,0.014199999999999999
2015-03-21,0,0,0,0,0,0
2015-03-22,0,0,0,0,0,0
2015-03-23,42.85,42.88,43.13,42.78,26250000.0,-0.0007000000000000001
2015-03-24,42.9,42.78,43.17,42.75,25510000.0,0.0012
2015-03-25,41.46,42.92,42.92,41.44,43470000.0,-0.0336
2015-03-26,41.21,41.22,41.61,40.92,37500000.0,-0.006
2015-03-27,40.97,41.12,41.43,40.83,34400000.0,-0.0058
2015-03-28,0,0,0,0,0,0
2015-03-29,0,0,0,0,0,0
2015-03-30,40.96,41.1,41.54,40.91,35050000.0,-0.0002
2015-03-31,40.66,40.78,41.03,40.54,34890000.0,-0.0073
2015-04-01,40.72,40.6,40.76,40.31,36870000.0,0.0015
2015-04-02,40.29,40.66,40.74,40.12,37490000.0,-0.0106
2015-04-03,0,0,0,0,0,0
2015-04-04,0,0,0,0,0,0
2015-04-05,0,0,0,0,0,0
2015-04-06,41.55,40.34,41.78,40.18,39220000.0,0.0313
2015-04-07,41.53,41.61,41.91,41.31,28810000.0,-0.0005
2015-04-08,41.42,41.46,41.69,41.04,24750000.0,-0.0026
2015-04-09,41.48,41.25,41.62,41.25,25720000.0,0.0014000000000000002
2015-04-10,41.72,41.63,41.95,41.41,28020000.0,0.0058
2015-04-11,0,0,0,0,0,0
2015-04-12,0,0,0,0,0,0
2015-04-13,41.76,41.4,42.06,41.39,30280000.0,0.001
2015-04-14,41.65,41.8,42.03,41.39,24240000.0,-0.0026
2015-04-15,42.26,41.76,42.46,41.68,27340000.0,0.0146
2015-04-16,42.16,41.95,42.34,41.82,22510000.0,-0.0024
2015-04-17,41.62,41.67,41.74,41.16,42390000.0,-0.0128
2015-04-18,0,0,0,0,0,0
2015-04-19,0,0,0,0,0,0
2015-04-20,42.91,41.73,43.17,41.68,46060000.0,0.031
2015-04-21,42.63,43.0,43.15,42.53,26010000.0,-0.006500000000000001
2015-04-22,42.98,42.67,43.13,42.55,25060000.0,0.008199999999999999
2015-04-23,43.34,42.89,43.61,42.8,46310000.0,0.0084
2015-04-24,47.87,45.66,48.14,45.65,130930000.0,0.1045
2015-04-25,0,0,0,0,0,0
2015-04-26,0,0,0,0,0,0
2015-04-27,48.03,47.23,48.13,47.22,59250000.0,0.0033
2015-04-28,49.16,47.78,49.21,47.7,60730000.0,0.0235
2015-04-29,49.06,48.72,49.31,48.5,47800000.0,-0.002
2015-04-30,48.64,48.7,49.54,48.6,64730000.00000001,-0.0086
2015-05-01,48.66,48.58,48.88,48.4,38940000.0,0.0004
2015-05-02,0,0,0,0,0,0
2015-05-03,0,0,0,0,0,0
2015-05-04,48.24,48.37,48.87,48.18,34040000.0,-0.0086
2015-05-05,47.6,47.82,48.16,47.31,50370000.0,-0.013300000000000001
2015-05-06,46.28,47.57,47.77,46.02,52430000.0,-0.0277
2015-05-07,46.7,46.27,47.09,46.16,32970000.0,0.0091
2015-05-08,47.75,47.55,47.98,47.52,35360000.0,0.0225
2015-05-09,0,0,0,0,0,0
2015-05-10,0,0,0,0,0,0
2015-05-11,47.37,47.55,47.91,47.37,24610000.0,-0.008
2015-05-12,47.35,46.85,47.68,46.42,29930000.0,-0.0004
2015-05-13,47.62,48.19,48.32,47.57,34180000.0,0.005699999999999999
2015-05-14,48.72,48.03,48.82,48.03,32979999.999999996,0.0231
2015-05-15,48.3,48.87,48.91,48.05,28640000.0,-0.0086
2015-05-16,0,0,0,0,0,0
2015-05-17,0,0,0,0,0,0
2015-05-18,48.01,47.98,48.22,47.61,24140000.0,-0.006
2015-05-19,47.58,47.56,47.81,47.18,28570000.0,-0.009000000000000001
