date,max_180,min_180,mean_180,adjusted_mean_180,max_90,min_90,mean_90,adjusted_mean_90,max_60,min_60,mean_60,adjusted_mean_60,max_30,min_30,mean_30,adjusted_mean_30
2020-12-08,124160000,3740000,19000334,16273828,124160000,3740000,14858000,11846125,124160000,3740000,15655000,12216112,124160000,3740000,23720667,19488847
2020-12-09,124160000,3740000,19113278,16399321,124160000,3740000,15061445,12075000,124160000,3740000,16098167,12708519,124160000,3810000,24643000,20548077
2020-12-10,124160000,3740000,19196500,16491791,124160000,3740000,15209334,12241375,124160000,3740000,16408167,13052963,124160000,3810000,25431667,21438847
2020-12-11,124160000,3740000,19369389,16683889,124160000,3740000,15513667,12583750,124160000,3740000,16936000,13639445,124160000,4370000,26663667,22835770
2020-12-12,124160000,3740000,19459556,16784075,124160000,3740000,15643556,12729875,124160000,3740000,17109667,13832408,124160000,4370000,27189667,23442693
2020-12-13,124160000,3740000,19511667,16841976,124160000,3740000,15665000,12754000,124160000,3740000,17251500,13990000,124160000,4370000,27456667,23750770
2020-12-14,124160000,3740000,19511667,16841976,124160000,3740000,15665000,12754000,124160000,3740000,17251500,13990000,124160000,4370000,27456667,23750770
2020-12-15,124160000,3740000,19511667,16841976,124160000,3740000,15665000,12754000,124160000,3740000,17251500,13990000,124160000,4370000,27456667,23750770
2020-12-16,124160000,3740000,19576278,16913766,124160000,3740000,15783778,12887625,124160000,3740000,17404334,14159815,124160000,4370000,27966334,24338847
2020-12-17,124160000,3740000,19742667,17098642,124160000,3740000,16086112,13227750,124160000,3740000,17867000,14673889,124160000,4370000,29010667,25543847
2020-12-18,124160000,3740000,19861112,17230247,124160000,3740000,16304334,13473250,124160000,3740000,18234000,15081667,124160000,4450000,29809000,26423847
2020-12-19,124160000,3740000,19942278,17320433,124160000,3740000,16442334,13628500,124160000,3740000,18627667,15519075,124160000,4450000,30645667,27373847
2020-12-20,124160000,3740000,20030778,17418766,124160000,3740000,16246334,13495875,124160000,3740000,19082000,16023889,124160000,5840000,31591667,28232693
2020-12-21,124160000,3740000,20030778,17418766,124160000,3740000,16246334,13495875,124160000,3740000,19082000,16023889,124160000,5840000,31591667,28232693
2020-12-22,124160000,3740000,20030778,17418766,124160000,3740000,16246334,13495875,124160000,3740000,19082000,16023889,124160000,5840000,31591667,28232693
2020-12-23,124160000,3740000,20102834,17498828,124160000,3740000,16343556,13605250,124160000,3740000,19325667,16294630,124160000,10500000,32190667,28666924
2020-12-24,124160000,3740000,20246556,17658519,124160000,3740000,16601000,13894875,124160000,3740000,19802834,16824815,124160000,10500000,32714000,29270770
2020-12-25,124160000,3740000,20455723,17887655,124160000,3740000,16967889,14307625,124160000,3740000,20394167,17481852,124160000,12520000,33756334,30331924
2020-12-26,124160000,3740000,20499389,17936173,124160000,3740000,16983334,14325000,124160000,3740000,20344667,17426852,124160000,12520000,33561000,30162693
2020-12-27,124160000,3740000,20499389,17936173,124160000,3740000,16983334,14325000,124160000,3740000,20344667,17426852,124160000,12520000,33561000,30162693
2020-12-28,124160000,3740000,20499389,17936173,124160000,3740000,16983334,14325000,124160000,3740000,20344667,17426852,124160000,12520000,33561000,30162693
2020-12-29,124160000,3740000,20499389,17936173,124160000,3740000,16983334,14325000,124160000,3740000,20344667,17426852,124160000,12520000,33561000,30162693
2020-12-30,124160000,3740000,20639389,18091729,124160000,3740000,17230445,14603000,124160000,3740000,20744000,17870556,124160000,12520000,33862667,30510770
2020-12-31,124160000,3740000,20725612,18187531,124160000,3740000,17422667,14819250,124160000,3740000,21004834,18160371,124160000,12520000,34178334,30875000
2021-01-01,124160000,3740000,20771112,18238087,124160000,3740000,17610778,15030875,124160000,3740000,21294000,18481667,124160000,12520000,32612334,29068077
2021-01-02,124160000,3740000,20785667,18254260,124160000,3740000,17723556,15157750,124160000,3740000,21560667,18777963,124160000,12520000,32516334,28957308
2021-01-03,124160000,3740000,20785667,18254260,124160000,3740000,17723556,15157750,124160000,3740000,21560667,18777963,124160000,12520000,32516334,28957308
2021-01-04,124160000,3740000,20785667,18254260,124160000,3740000,17723556,15157750,124160000,3740000,21560667,18777963,124160000,12520000,32516334,28957308
