date,max_180,min_180,mean_180,adjusted_mean_180,max_90,min_90,mean_90,adjusted_mean_90,max_60,min_60,mean_60,adjusted_mean_60,max_30,min_30,mean_30,adjusted_mean_30
2020-10-18,426880000,80110000,173737223,167575926,374300000,83480000,163971778,157722375,374300000,83480000,172862167,167604445,332610000,83480000,170317667,165749616
2020-10-20,426880000,80110000,173817612,167665247,374300000,83480000,166713445,160772125,374300000,83480000,178019000,173188704,332610000,83480000,165586000,160290000
2020-10-21,426880000,80110000,173521223,167335926,374300000,83480000,165813223,159759375,374300000,83480000,176939000,171988704,287100000,83480000,158520334,154840385
2020-10-21,426880000,80110000,173453445,167260618,374300000,83480000,164971778,158812750,374300000,83480000,176992500,172048149,287100000,83480000,154955334,150726924
2020-10-22,426880000,80110000,173453445,167260618,374300000,83480000,164971778,158812750,374300000,83480000,176992500,172048149,287100000,83480000,154955334,150726924
2020-10-23,426880000,80110000,173293000,167084630,374300000,83480000,164428889,158206750,374300000,83480000,176764500,171922593,287100000,83480000,152055667,147646539
2020-10-24,426880000,80110000,173273889,167063396,374300000,83480000,163724000,157413750,374300000,83480000,176958834,172017778,287100000,83480000,149379667,144558847
2020-10-25,426880000,80110000,173078834,166894136,374300000,82570000,163370223,157112625,374300000,82570000,175699500,170882963,287100000,82570000,146103334,141062308
2020-10-26,426880000,80110000,173078834,166894136,374300000,82570000,163370223,157112625,374300000,82570000,175699500,170882963,287100000,82570000,146103334,141062308
2020-10-27,426880000,80110000,173078834,166894136,374300000,82570000,163370223,157112625,374300000,82570000,175699500,170882963,287100000,82570000,146103334,141062308
2020-10-28,426880000,80110000,173092723,166909568,374300000,82570000,163537223,157300500,345940000,82570000,171325334,166794815,287100000,82570000,145160000,139973847
2020-10-29,426880000,80110000,173081389,166896976,374300000,82570000,161623889,155148000,345940000,82570000,167727500,162797223,287100000,82570000,142081334,136421539
2020-10-30,426880000,80110000,173534667,167400618,374300000,82570000,160984556,154428750,345940000,82570000,167649000,162710000,287100000,82570000,140649000,134768847
2020-10-31,426880000,81020000,174148112,168019568,374300000,82570000,160961334,154402625,345940000,82570000,167450667,162489630,262330000,82570000,137430000,132857308
2020-11-01,426880000,81020000,174358167,168252963,374300000,82570000,161550778,155065750,345940000,82570000,167326000,162351112,262330000,82570000,137258667,132659616
2020-11-02,426880000,81020000,174358167,168252963,374300000,82570000,161550778,155065750,345940000,82570000,167326000,162351112,262330000,82570000,137258667,132659616
2020-11-03,426880000,81020000,174358167,168252963,374300000,82570000,161550778,155065750,345940000,82570000,167326000,162351112,262330000,82570000,137258667,132659616
2020-11-04,426880000,81020000,174518667,168431297,374300000,82570000,160635334,154035875,345940000,82570000,165833834,160693149,262330000,82570000,135252334,130344616
2020-11-05,426880000,81020000,174557834,168474815,374300000,82570000,160379445,153748000,345940000,82570000,164495834,159206482,262330000,82570000,133815667,128686924
2020-11-06,426880000,81020000,174605223,168527470,374300000,82570000,160357445,153723250,345940000,82570000,164034167,158693519,262330000,82570000,132832334,127552308
2020-11-07,426880000,81020000,174072945,167936050,374300000,82570000,160531334,153918875,345940000,82570000,162639334,157143704,262330000,82570000,132046000,126645000
2020-11-08,426880000,81020000,173427334,167218704,374300000,82570000,160536000,153924125,345940000,82570000,161787500,156197223,262330000,82570000,131272334,125752308
2020-11-09,426880000,81020000,173427334,167218704,374300000,82570000,160536000,153924125,345940000,82570000,161787500,156197223,262330000,82570000,131272334,125752308
2020-11-10,426880000,81020000,173427334,167218704,374300000,82570000,160536000,153924125,345940000,82570000,161787500,156197223,262330000,82570000,131272334,125752308
2020-11-10,426880000,81020000,173181834,166945926,374300000,82570000,160934445,154372375,345940000,82570000,162370167,156844630,262330000,82570000,133087667,127846924
2020-11-11,426880000,81020000,173181834,166945926,374300000,82570000,160934445,154372375,345940000,82570000,162370167,156844630,262330000,82570000,133087667,127846924
