date,max_180,min_180,mean_180,adjusted_mean_180,max_90,min_90,mean_90,adjusted_mean_90,max_60,min_60,mean_60,adjusted_mean_60,max_30,min_30,mean_30,adjusted_mean_30
2020-12-08,166850000,2790000,24338841,19648197,166850000,2790000,24338841,19648197,166850000,2790000,25678500,21537963,166850000,3600000,45208667,41513847
2020-12-09,166850000,2790000,24533143,19943226,166850000,2790000,24533143,19943226,166850000,2790000,26239834,22161667,166850000,3600000,46324334,42801154
2020-12-10,166850000,2790000,24554367,20040000,166850000,2790000,24554367,20040000,166850000,2790000,26568834,22527223,166850000,3600000,47050334,43589231
2020-12-11,166850000,2790000,25008612,20621563,166850000,2790000,25008612,20621563,166850000,2790000,27451000,23507408,166850000,5550000,48839000,45432308
2020-12-12,166850000,2790000,25032740,20716154,166850000,2790000,25032740,20716154,166850000,2790000,27829500,23927963,166850000,9340000,49546334,46048462
2020-12-13,166850000,2790000,25000811,20745758,166850000,2790000,25000811,20745758,166850000,2790000,28159167,24287223,166850000,9340000,49943667,46485385
2020-12-14,166850000,2790000,25000811,20745758,166850000,2790000,25000811,20745758,166850000,2790000,28159167,24287223,166850000,9340000,49943667,46485385
2020-12-15,166850000,2790000,25000811,20745758,166850000,2790000,25000811,20745758,166850000,2790000,28159167,24287223,166850000,9340000,49943667,46485385
2020-12-16,166850000,2790000,25124800,20948060,166850000,2790000,25124800,20948060,166850000,2930000,28684334,24857223,166850000,11310000,50775667,47038462
2020-12-17,166850000,2790000,25261843,21162648,166850000,2790000,25261843,21162648,166850000,2930000,29190167,25419260,166850000,11310000,51296334,47533462
2020-12-18,166850000,2790000,25224676,21180580,166850000,2790000,25224676,21180580,166850000,2930000,29494667,25757593,166850000,22400000,51666000,47533462
2020-12-19,166850000,2790000,25166539,21173572,166850000,2790000,25166539,21173572,166850000,2930000,29785000,26074075,166850000,20690000,50665000,46454616
2020-12-20,166850000,2790000,25154684,21216620,166850000,2790000,25154684,21216620,166850000,2930000,30122167,26448704,166850000,20690000,48488000,43942693
2020-12-21,166850000,2790000,25154684,21216620,166850000,2790000,25154684,21216620,166850000,2930000,30122167,26448704,166850000,20690000,48488000,43942693
2020-12-22,166850000,2790000,25154684,21216620,166850000,2790000,25154684,21216620,166850000,2930000,30122167,26448704,166850000,20690000,48488000,43942693
2020-12-23,166850000,2790000,25072250,21179723,166850000,2790000,25072250,21179723,166850000,2930000,30342667,26693704,166850000,18560000,45700334,40957693
2020-12-24,166850000,2790000,25001729,20400564,166850000,2790000,25001729,20400564,166850000,2930000,30573500,26950186,166850000,18560000,45185334,40414616
2020-12-25,166850000,2790000,24860366,20303473,166850000,2790000,24860366,20303473,166850000,2930000,30699334,27090000,166850000,13410000,44554334,39915385
2020-12-26,166850000,2790000,24746988,20236987,166850000,2790000,24746988,20236987,166850000,2930000,30783334,27183334,166850000,13410000,44239334,39671539
2020-12-27,166850000,2790000,24746988,20236987,166850000,2790000,24746988,20236987,166850000,2930000,30783334,27183334,166850000,13410000,44239334,39671539
2020-12-28,166850000,2790000,24746988,20236987,166850000,2790000,24746988,20236987,166850000,2930000,30783334,27183334,166850000,13410000,44239334,39671539
2020-12-29,166850000,2790000,24746988,20236987,166850000,2790000,24746988,20236987,166850000,2930000,30783334,27183334,166850000,13410000,44239334,39671539
2020-12-30,166850000,2790000,24818572,20379190,166850000,2790000,24818572,20379190,166850000,2930000,31129000,27567408,100010000,13410000,39703000,37011924
2020-12-31,166850000,2790000,24812353,20431334,166850000,2790000,24812353,20431334,166850000,2930000,31458500,27933519,100010000,13410000,37434667,34394616
2021-01-01,166850000,2790000,24758721,20428290,166850000,2790000,24758721,20428290,166850000,2930000,31552334,28037778,100010000,13410000,36804667,33667693
2021-01-02,166850000,2790000,24725633,20447143,166850000,2790000,24725633,20447143,166850000,2930000,31799500,28312408,100010000,13410000,36575000,33402693
