date,max_180,min_180,mean_180,adjusted_mean_180,max_90,min_90,mean_90,adjusted_mean_90,max_60,min_60,mean_60,adjusted_mean_60,max_30,min_30,mean_30,adjusted_mean_30
2020-12-08,10110000,1270000,3080445,2887840,6140000,1270000,2478667,2417375,6140000,1270000,2434500,2356667,6140000,1270000,2747667,2650385
2020-12-09,10110000,1270000,3050445,2863951,6140000,1270000,2472223,2410125,6140000,1270000,2448334,2372038,6140000,1270000,2760667,2665385
2020-12-10,10110000,1270000,3008278,2836667,6140000,1270000,2455000,2390750,6140000,1270000,2439334,2362038,6140000,1270000,2706667,2603077
2020-12-11,10110000,1270000,2980612,2816297,6140000,1270000,2460445,2396875,6140000,1270000,2451000,2375000,6140000,1270000,2669000,2559616
2020-12-12,10110000,1270000,2955334,2792531,6140000,1270000,2464000,2400875,6140000,1270000,2438334,2360926,6140000,1270000,2639000,2525000
2020-12-13,10110000,1270000,2942112,2777840,6140000,1270000,2454667,2390375,6140000,1270000,2423667,2344630,6140000,1270000,2612334,2494231
2020-12-14,10110000,1270000,2942112,2777840,6140000,1270000,2454667,2390375,6140000,1270000,2423667,2344630,6140000,1270000,2612334,2494231
2020-12-15,10110000,1270000,2942112,2777840,6140000,1270000,2454667,2390375,6140000,1270000,2423667,2344630,6140000,1270000,2612334,2494231
2020-12-16,10110000,1270000,2939112,2774507,6140000,1270000,2459556,2395875,6140000,1270000,2411167,2333889,6140000,1270000,2649000,2536539
2020-12-17,10110000,1270000,2931667,2766235,6140000,1270000,2460556,2397000,6140000,1270000,2383834,2303889,6140000,1270000,2654000,2542308
2020-12-18,10110000,1270000,2921500,2754939,6140000,1270000,2457000,2393000,6140000,1270000,2381334,2301112,6140000,1270000,2655667,2544231
2020-12-19,10110000,1270000,2912278,2744692,6140000,1270000,2441112,2375125,6140000,1270000,2382667,2302593,6140000,1270000,2628667,2513077
2020-12-20,10110000,1270000,2918056,2751112,6140000,1270000,2469445,2398000,6140000,1270000,2433667,2345556,6140000,1270000,2710334,2599231
2020-12-21,10110000,1270000,2918056,2751112,6140000,1270000,2469445,2398000,6140000,1270000,2433667,2345556,6140000,1270000,2710334,2599231
2020-12-22,10110000,1270000,2918056,2751112,6140000,1270000,2469445,2398000,6140000,1270000,2433667,2345556,6140000,1270000,2710334,2599231
2020-12-23,10110000,1270000,2896112,2726729,6140000,1270000,2456223,2383125,6140000,1270000,2429334,2340741,6140000,1270000,2710334,2599231
2020-12-24,10110000,1270000,2873112,2702531,6140000,1270000,2453445,2382000,6140000,1270000,2417000,2328889,6140000,1270000,2608334,2494231
2020-12-25,10110000,1270000,2865834,2694445,6140000,1270000,2450000,2378125,6140000,1270000,2412500,2323889,6140000,1270000,2550334,2427308
2020-12-26,10110000,656180,2842924,2674630,6140000,656180,2440402,2378000,6140000,656180,2372437,2293889,6140000,656180,2476206,2368847
2020-12-27,10110000,656180,2842924,2674630,6140000,656180,2440402,2378000,6140000,656180,2372437,2293889,6140000,656180,2476206,2368847
2020-12-28,10110000,656180,2842924,2674630,6140000,656180,2440402,2378000,6140000,656180,2372437,2293889,6140000,656180,2476206,2368847
2020-12-29,10110000,656180,2842924,2674630,6140000,656180,2440402,2378000,6140000,656180,2372437,2293889,6140000,656180,2476206,2368847
2020-12-30,10110000,656180,2835868,2668025,6140000,656180,2433291,2371125,6140000,656180,2362103,2282408,6140000,656180,2447873,2336154
2020-12-31,10110000,656180,2824201,2656976,6140000,656180,2424736,2364250,6140000,656180,2352937,2274815,6140000,656180,2428206,2315385
2021-01-01,10110000,656180,2815035,2647593,6140000,656180,2417847,2356500,6140000,656180,2351770,2273519,6140000,656180,2393540,2275385
2021-01-02,10110000,656180,2802090,2633210,6140000,656180,2409402,2347000,6140000,656180,2348770,2270186,6140000,656180,2368540,2246539
2021-01-03,10110000,656180,2802090,2633210,6140000,656180,2409402,2347000,6140000,656180,2348770,2270186,6140000,656180,2368540,2246539
2021-01-04,10110000,656180,2802090,2633210,6140000,656180,2409402,2347000,6140000,656180,2348770,2270186,6140000,656180,2368540,2246539
2021-01-05,10110000,656180,2802090,2633210,6140000,656180,2409402,2347000,6140000,656180,2348770,2270186,6140000,656180,2368540,2246539
2021-01-06,10110000,656180,2788813,2618457,6140000,656180,2421180,2360250,6140000,656180,2362770,2285741,6140000,656180,2381206,2261154
2021-01-07,10110000,656180,2784979,2614198,6140000,656180,2417847,2356500,6140000,656180,2367770,2291297,6140000,656180,2354873,2230770
2021-01-08,10110000,656180,2790646,2620494,6140000,656180,2429180,2369250,6140000,656180,2389937,2315926,6140000,656180,2377873,2257308
2021-01-09,10110000,656180,2807646,2639383,6140000,656180,2459847,2380375,6140000,656180,2461270,2369445,6140000,656180,2502540,2355770
2021-01-10,10110000,656180,2819979,2653087,6140000,656180,2481291,2395375,6140000,656180,2515103,2425926,6140000,656180,2559873,2421924
2021-01-11,10110000,656180,2819979,2653087,6140000,656180,2481291,2395375,6140000,656180,2515103,2425926,6140000,656180,2559873,2421924
2021-01-12,10110000,656180,2819979,2653087,6140000,656180,2481291,2395375,6140000,656180,2515103,2425926,6140000,656180,2559873,2421924
2021-01-13,10110000,656180,2822701,2656112,6140000,656180,2479514,2393375,6140000,656180,2536770,2450000,6140000,656180,2582873,2448462
2021-01-14,10110000,656180,2813313,2645680,6140000,656180,2468514,2381000,6140000,656180,2558603,2474260,6140000,656180,2638873,2513077
2021-01-15,10110000,656180,2778479,2621729,6140000,656180,2452291,2362750,6140000,656180,2550937,2465741,5810000,656180,2501540,2405770
2021-01-16,10110000,656180,2772368,2614939,6140000,656180,2448069,2358000,6140000,656180,2567270,2483889,5810000,656180,2469540,2368847
2021-01-17,10110000,656180,2771701,2614198,6140000,656180,2455736,2366625,6140000,656180,2596270,2516112,5810000,656180,2507206,2412308
2021-01-18,10110000,656180,2771701,2614198,6140000,656180,2455736,2366625,6140000,656180,2596270,2516112,5810000,656180,2507206,2412308
2021-01-19,10110000,656180,2771701,2614198,6140000,656180,2455736,2366625,6140000,656180,2596270,2516112,5810000,656180,2507206,2412308
2021-01-20,10110000,656180,2771701,2614198,6140000,656180,2455736,2366625,6140000,656180,2596270,2516112,5810000,656180,2507206,2412308
2021-01-21,10110000,656180,2777090,2620186,6140000,656180,2468847,2381375,6140000,656180,2636103,2560371,5810000,656180,2557873,2470770
2021-01-22,10110000,656180,2779535,2622902,6140000,656180,2475736,2389125,6140000,656180,2652937,2579075,5810000,656180,2558206,2471154
2021-01-23,10110000,656180,2781757,2625371,6140000,656180,2486514,2401250,6140000,656180,2661770,2588889,5810000,656180,2562873,2476539
2021-01-24,10110000,656180,2782757,2626482,6140000,656180,2487514,2402375,6140000,656180,2645270,2570556,5810000,656180,2583873,2500770
2021-01-25,10110000,656180,2782757,2626482,6140000,656180,2487514,2402375,6140000,656180,2645270,2570556,5810000,656180,2583873,2500770
2021-01-26,10110000,656180,2782757,2626482,6140000,656180,2487514,2402375,6140000,656180,2645270,2570556,5810000,656180,2583873,2500770
