date,max_180,min_180,mean_180,adjusted_mean_180,max_90,min_90,mean_90,adjusted_mean_90,max_60,min_60,mean_60,adjusted_mean_60,max_30,min_30,mean_30,adjusted_mean_30
2020-10-25,36590000,5490000,13887556,13513642,36590000,5490000,12118556,11539250,36590000,5490000,13432834,12912593,30040000,5490000,12934000,12575000
2020-10-26,36590000,5490000,13887556,13513642,36590000,5490000,12118556,11539250,36590000,5490000,13432834,12912593,30040000,5490000,12934000,12575000
2020-10-27,36590000,5490000,13887556,13513642,36590000,5490000,12118556,11539250,36590000,5490000,13432834,12912593,30040000,5490000,12934000,12575000
2020-10-28,36590000,5490000,13860778,13483889,36590000,5490000,12141445,11565000,36590000,5490000,13412167,12889630,19810000,5490000,12213334,12144616
2020-10-29,36590000,5490000,13806889,13426605,36590000,5490000,12065445,11479500,36590000,5490000,13344334,12814260,19810000,5490000,11815667,11685770
2020-10-30,36590000,5490000,13778223,13394754,36590000,5490000,12044000,11455375,36590000,5490000,13400834,12877038,19610000,5490000,11271000,11116154
2020-10-31,36590000,5490000,13691445,13306729,36590000,5490000,12035112,11445375,36590000,5490000,13472834,12957038,19610000,5490000,11036667,10845770
2020-11-01,36590000,5490000,13663000,13275124,36590000,5490000,12046556,11458250,36590000,5490000,13504000,12991667,19610000,5490000,10783334,10553462
2020-11-02,36590000,5490000,13663000,13275124,36590000,5490000,12046556,11458250,36590000,5490000,13504000,12991667,19610000,5490000,10783334,10553462
2020-11-03,36590000,5490000,13663000,13275124,36590000,5490000,12046556,11458250,36590000,5490000,13504000,12991667,19610000,5490000,10783334,10553462
2020-11-04,36590000,5490000,13608167,13214198,36590000,5490000,11965334,11366875,36590000,5490000,13450667,12932408,19610000,5490000,10494334,10220000
2020-11-05,36590000,5490000,13533556,13131297,36590000,5490000,11946000,11345125,36590000,5490000,13416667,12894630,19610000,5490000,10182334,9860000
2020-11-06,36590000,5490000,13483723,13075926,36590000,5490000,11957778,11358375,36590000,5490000,13394000,12869445,19610000,5490000,9915000,9591924
2020-11-07,36590000,5490000,13409056,12992963,36590000,5490000,11955667,11356000,36590000,5490000,13371000,12843889,19610000,5490000,9691000,9333462
2020-11-08,36590000,5490000,13315667,12905494,36590000,5490000,11961000,11362000,36590000,5490000,13378000,12851667,19610000,5490000,9532000,9150000
2020-11-09,36590000,5490000,13315667,12905494,36590000,5490000,11961000,11362000,36590000,5490000,13378000,12851667,19610000,5490000,9532000,9150000
2020-11-10,36590000,5490000,13315667,12905494,36590000,5490000,11961000,11362000,36590000,5490000,13378000,12851667,19610000,5490000,9532000,9150000
2020-11-10,36590000,5490000,13292500,12879754,36590000,5490000,12035112,11445375,36590000,5490000,13362000,12833889,19610000,5490000,9498334,9111154
2020-11-11,36590000,5490000,13292500,12879754,36590000,5490000,12035112,11445375,36590000,5490000,13362000,12833889,19610000,5490000,9498334,9111154
2020-11-12,36590000,5490000,13256056,12839260,36590000,5490000,12114667,11534875,36590000,5490000,13420500,12898889,19610000,5490000,9460667,9111154
2020-11-13,36590000,5490000,13154667,12755865,36590000,5490000,12125556,11547125,36590000,5490000,13329667,12797963,19610000,5490000,9360334,8995385
