date,max_180,min_180,mean_180,adjusted_mean_180,max_90,min_90,mean_90,adjusted_mean_90,max_60,min_60,mean_60,adjusted_mean_60,max_30,min_30,mean_30,adjusted_mean_30
2020-12-08,544120,3830,135052,124111,544120,29580,219319,212928,544120,96780,263154,257692,544120,96780,269704,263896
2020-12-09,1000000,3830,140442,126293,1000000,29580,229944,217947,1000000,96780,277686,264172,1000000,96780,295085,273105
2020-12-10,1000000,3830,145608,128667,1000000,29580,239510,222821,1000000,96780,289333,269507,1000000,96780,317828,284005
2020-12-11,1190000,3830,152171,131384,1190000,29580,251618,227543,1190000,96780,302538,272219,1190000,96780,352660,314696
2020-12-12,1190000,3830,156166,134030,1190000,29580,259135,233409,1190000,96780,307375,277593,1190000,96780,364569,328437
2020-12-13,1190000,3830,158664,136752,1190000,29580,263343,238143,1190000,96780,312438,283219,1190000,96780,371542,336483
2020-12-14,1190000,3830,158664,136752,1190000,29580,263343,238143,1190000,96780,312438,283219,1190000,96780,371542,336483
2020-12-15,1190000,3830,158664,136752,1190000,29580,263343,238143,1190000,96780,312438,283219,1190000,96780,371542,336483
2020-12-16,1190000,3830,161352,139540,1190000,29580,268048,243436,1190000,96780,317814,289192,1190000,96780,372165,337202
2020-12-17,1190000,3830,163297,141694,1190000,29580,270841,246579,1190000,96780,321221,292978,1190000,96780,374022,339344
2020-12-18,1190000,3830,165493,144135,1190000,29580,274426,250611,1190000,96780,325291,297499,1190000,96780,378626,344657
2020-12-19,1190000,3830,167664,146547,1190000,29580,277787,254393,1190000,96780,326122,298423,1190000,96780,383589,350383
2020-12-20,1190000,3830,169625,148724,1190000,29580,281258,258185,1190000,96780,329355,302016,1190000,96780,387129,354468
2020-12-21,1190000,3830,169625,148724,1190000,29580,281258,258185,1190000,96780,329355,302016,1190000,96780,387129,354468
2020-12-22,1190000,3830,169625,148724,1190000,29580,281258,258185,1190000,96780,329355,302016,1190000,96780,387129,354468
2020-12-23,1190000,3830,173436,151526,1190000,29580,288268,264073,1190000,96780,337848,311452,1190000,96780,404086,374033
2020-12-24,1190000,3830,176421,154421,1190000,50400,294009,270093,1190000,96780,340912,314857,1190000,96780,412074,383251
2020-12-25,1190000,3830,179790,157406,1190000,50400,300175,276676,1190000,96780,346786,321383,1190000,96780,420562,393045
2020-12-26,1190000,3830,181632,159453,1190000,51760,303454,279786,1190000,96780,347941,322666,1190000,96780,427940,401558
2020-12-27,1190000,3830,181632,159453,1190000,51760,303454,279786,1190000,96780,347941,322666,1190000,96780,427940,401558
2020-12-28,1190000,3830,181632,159453,1190000,51760,303454,279786,1190000,96780,347941,322666,1190000,96780,427940,401558
2020-12-29,1190000,3830,181632,159453,1190000,51760,303454,279786,1190000,96780,347941,322666,1190000,96780,427940,401558
2020-12-30,1190000,3830,187305,162684,1190000,54190,314323,287352,1190000,96780,360845,335393,1190000,96780,458548,435720
2020-12-31,1190000,3830,190189,165889,1190000,55920,319576,292637,1190000,96780,364467,339417,1190000,96780,471884,451108
2021-01-01,1190000,3830,191728,167581,1190000,92920,322078,294765,1190000,96780,366718,341919,1190000,96780,476215,456105
2021-01-02,1190000,3830,193816,169896,1190000,96780,325290,298142,1190000,96780,370037,345606,1190000,96780,485249,464084
2021-01-03,1190000,3830,193816,169896,1190000,96780,325290,298142,1190000,96780,370037,345606,1190000,96780,485249,464084
2021-01-04,1190000,3830,193816,169896,1190000,96780,325290,298142,1190000,96780,370037,345606,1190000,96780,485249,464084
2021-01-05,1190000,3830,193816,169896,1190000,96780,325290,298142,1190000,96780,370037,345606,1190000,96780,485249,464084
2021-01-06,1190000,3830,197006,173190,1190000,96780,330145,303605,1190000,96780,376200,352454,1190000,174520,501512,478220
2021-01-07,1190000,3830,198631,174992,1190000,96780,330122,303578,1190000,96780,378275,354760,1190000,174520,500580,477146
2021-01-08,1190000,3970,202079,178315,1190000,96780,335902,309886,1190000,96780,385202,362456,1190000,217100,515575,491068
2021-01-09,1190000,3970,206313,181873,1190000,96780,343359,317576,1190000,96780,393836,372049,1190000,217100,530496,508284
2021-01-10,1190000,3970,209786,185643,1190000,96780,347635,322387,1190000,96780,400464,379414,1190000,217100,542041,521606
2021-01-11,1190000,3970,209786,185643,1190000,96780,347635,322387,1190000,96780,400464,379414,1190000,217100,542041,521606
2021-01-12,1190000,3970,209786,185643,1190000,96780,347635,322387,1190000,96780,400464,379414,1190000,217100,542041,521606
2021-01-13,1190000,3970,211763,187807,1190000,96780,347722,322485,1190000,96780,400564,379526,1190000,262380,546801,524637
2021-01-14,1190000,3970,213501,189739,1190000,96780,347198,321896,1190000,96780,400997,380006,1190000,262380,542270,519408
2021-01-15,1190000,3970,216158,192647,1190000,96780,349248,324201,1190000,96780,406454,386070,1190000,262380,540256,517084
2021-01-16,1190000,3970,218799,195556,1190000,96780,351917,327204,1190000,96780,411361,391522,1190000,262380,541439,518450
2021-01-17,1190000,3970,220923,197856,1190000,96780,354878,330447,1190000,96780,413773,394201,1190000,262380,544600,522097
2021-01-18,1190000,3970,220923,197856,1190000,96780,354878,330447,1190000,96780,413773,394201,1190000,262380,544600,522097
2021-01-19,1190000,3970,220923,197856,1190000,96780,354878,330447,1190000,96780,413773,394201,1190000,262380,544600,522097
2021-01-20,1190000,3970,220923,197856,1190000,96780,354878,330447,1190000,96780,413773,394201,1190000,262380,544600,522097
2021-01-21,1190000,5270,223055,200157,1190000,96780,357526,333426,1190000,96780,412640,392943,1190000,262380,546580,524381
2021-01-22,1190000,5270,226040,203383,1190000,96780,360761,337065,1190000,96780,412839,393164,1190000,281110,555974,533801
2021-01-23,1190000,5270,227262,204658,1190000,96780,361926,338376,1190000,96780,412745,393060,1190000,232950,530406,506850
2021-01-24,1190000,5270,231091,208329,1190000,96780,366959,344037,1190000,96780,420019,401142,1190000,232950,522210,497394
2021-01-25,1190000,5270,231091,208329,1190000,96780,366959,344037,1190000,96780,420019,401142,1190000,232950,522210,497394
2021-01-26,1190000,5270,231091,208329,1190000,96780,366959,344037,1190000,96780,420019,401142,1190000,232950,522210,497394
2021-01-27,1190000,5270,234966,212035,1190000,96780,370642,348181,1190000,96780,429755,411959,1030000,232950,506849,495833
2021-01-28,1190000,5270,238031,215441,1190000,96780,372232,349970,1190000,96780,433257,415851,1030000,232950,501945,490175
2021-01-29,1190000,5270,242182,219562,1190000,96780,378988,357570,1190000,96780,441815,425359,1030000,232950,512087,501877
2021-01-30,1190000,5270,244002,221482,1190000,96780,380845,359660,1190000,96780,439537,422828,1030000,232950,506909,495902
2021-01-31,1190000,5270,245602,223260,1190000,96780,382705,361752,1190000,96780,439847,423173,1030000,232950,505672,494475
2021-02-01,1190000,5270,245602,223260,1190000,96780,382705,361752,1190000,96780,439847,423173,1030000,232950,505672,494475
2021-02-02,1190000,5270,245602,223260,1190000,96780,382705,361752,1190000,96780,439847,423173,1030000,232950,505672,494475
2021-02-03,1190000,5270,247101,224783,1190000,96780,384026,363238,1190000,96780,440061,423411,1030000,232950,501496,489784
2021-02-04,1190000,9290,248968,226696,1190000,96780,383926,363125,1190000,96780,441561,425077,1030000,232950,499533,487518
2021-02-05,1190000,9290,249945,227782,1190000,96780,384548,363826,1190000,96780,441032,424489,1030000,221370,494934,484383
2021-02-06,1190000,9290,251633,229632,1190000,96780,386114,365587,1190000,96780,443365,427082,1030000,221370,482645,470203
2021-02-07,1190000,9290,254091,232235,1190000,96780,387169,366774,1190000,96780,445879,429875,1030000,221370,479683,466785
2021-02-08,1190000,9290,254091,232235,1190000,96780,387169,366774,1190000,96780,445879,429875,1030000,221370,479683,466785
2021-02-09,1190000,9290,254091,232235,1190000,96780,387169,366774,1190000,96780,445879,429875,1030000,221370,479683,466785
2021-02-10,1190000,9290,256007,234322,1190000,96780,388379,368136,1190000,96780,446064,430081,1030000,221370,471566,457420
2021-02-11,1190000,9290,257074,235507,1190000,96780,387955,367659,1190000,96780,447962,432190,1030000,221370,467984,453287
2021-02-12,1190000,9290,259616,238331,1190000,96780,390663,370705,1190000,96780,454424,439090,769750,221370,450300,442932
2021-02-13,1190000,9290,261183,240064,1190000,96780,390778,370834,1190000,96780,457642,442216,769750,221370,443401,434972
2021-02-14,1190000,9290,262572,241420,1190000,96780,392073,372291,1190000,96780,459499,443846,769750,221370,442782,434259
2021-02-15,1190000,9290,262572,241420,1190000,96780,392073,372291,1190000,96780,459499,443846,769750,221370,442782,434259
2021-02-16,1190000,9290,262572,241420,1190000,96780,392073,372291,1190000,96780,459499,443846,769750,221370,442782,434259
2021-02-17,1190000,9290,262572,241420,1190000,96780,392073,372291,1190000,96780,459499,443846,769750,221370,442782,434259
2021-02-18,1190000,26450,265214,244144,1190000,96780,395430,376067,1190000,96780,465732,448806,769750,221370,446215,438219
2021-02-19,1190000,26450,267790,246974,1190000,96780,398630,379668,1190000,174520,472501,454020,769750,221370,443491,435076
2021-02-20,1190000,29580,269265,248489,1190000,96780,399933,381133,1190000,174520,471914,453368,769750,221370,443248,434796
2021-02-21,1190000,29580,270800,250195,1190000,96780,401395,382779,1190000,217100,474679,455357,769750,221370,433782,423874
2021-02-22,1190000,29580,270800,250195,1190000,96780,401395,382779,1190000,217100,474679,455357,769750,221370,433782,423874
2021-02-23,1190000,29580,270800,250195,1190000,96780,401395,382779,1190000,217100,474679,455357,769750,221370,433782,423874
