date,max_180,min_180,mean_180,adjusted_mean_180,max_90,min_90,mean_90,adjusted_mean_90,max_60,min_60,mean_60,adjusted_mean_60,max_30,min_30,mean_30,adjusted_mean_30
2020-10-25,62560000,10850000,24314723,23495865,55390000,10850000,19320667,18297250,55390000,10850000,19145667,18137593,55390000,10850000,19699334,18297308
2020-10-26,62560000,10850000,24314723,23495865,55390000,10850000,19320667,18297250,55390000,10850000,19145667,18137593,55390000,10850000,19699334,18297308
2020-10-27,62560000,10850000,24314723,23495865,55390000,10850000,19320667,18297250,55390000,10850000,19145667,18137593,55390000,10850000,19699334,18297308
2020-10-28,62560000,10850000,24291112,23480186,55390000,10850000,19303556,18295875,55390000,10850000,19049667,18055556,55390000,10850000,19198000,17766539
2020-10-29,62560000,8960000,24192112,23396729,55390000,8960000,19091112,18107500,55390000,8960000,18946667,18014445,55390000,8960000,19014667,17659616
2020-10-30,62560000,8960000,23953334,23174321,55390000,8960000,18966000,17973000,55390000,8960000,18928667,17994445,55390000,8960000,18473667,17035385
2020-10-31,62560000,8960000,23925778,23143704,55390000,8960000,18928334,17930625,55390000,8960000,18658000,17693704,55390000,8960000,18154000,16666539
2020-11-01,62560000,8960000,23894723,23109198,55390000,8960000,18939334,17943000,55390000,8960000,18696667,17736667,55390000,8960000,17977334,16462693
2020-11-02,62560000,8960000,23894723,23109198,55390000,8960000,18939334,17943000,55390000,8960000,18696667,17736667,55390000,8960000,17977334,16462693
2020-11-03,62560000,8960000,23894723,23109198,55390000,8960000,18939334,17943000,55390000,8960000,18696667,17736667,55390000,8960000,17977334,16462693
2020-11-04,62560000,8960000,23837834,23046729,55390000,8960000,18896778,17895125,55390000,8960000,18650334,17685186,55390000,8960000,18052334,16517308
2020-11-05,62560000,8960000,23785778,22999260,55390000,8960000,18749667,17742000,55390000,8960000,18482000,17502778,55390000,8960000,17794667,16229616
2020-11-06,62560000,8960000,23710778,22915926,55390000,8960000,18368556,17508875,55390000,8960000,18420834,17434815,55390000,8960000,17785000,16218462
2020-11-07,62560000,8960000,23616612,22811297,55390000,8960000,18270223,17398250,55390000,8960000,18009500,17243149,55390000,8960000,17738334,16164616
2020-11-08,62560000,8960000,23461223,22648519,55390000,8960000,18218667,17340250,55390000,8960000,17938667,17164445,55390000,8960000,17572334,15973077
2020-11-09,62560000,8960000,23461223,22648519,55390000,8960000,18218667,17340250,55390000,8960000,17938667,17164445,55390000,8960000,17572334,15973077
2020-11-10,62560000,8960000,23461223,22648519,55390000,8960000,18218667,17340250,55390000,8960000,17938667,17164445,55390000,8960000,17572334,15973077
2020-11-10,62560000,8960000,23421612,22604507,55390000,8960000,18270334,17398375,55390000,8960000,17999834,17232408,55390000,8960000,17068334,15838847
2020-11-11,62560000,8960000,23421612,22604507,55390000,8960000,18270334,17398375,55390000,8960000,17999834,17232408,55390000,8960000,17068334,15838847
2020-11-12,62560000,8960000,23300223,22469630,55390000,8960000,18211445,17332125,55390000,8960000,17906167,17128334,24460000,8960000,15705334,15466539
2020-11-13,62560000,8960000,23158445,22313149,55390000,8960000,18205445,17325375,55390000,8960000,17828000,17041482,24180000,8960000,15382334,15181539
2020-11-14,62560000,8960000,23050223,22192902,55390000,8960000,18153000,17266375,55390000,8960000,17683667,16881112,24180000,8960000,15166000,14931924
2020-11-15,62560000,8960000,22924889,22053642,55390000,8960000,18110778,17218875,55390000,8960000,17664500,16859815,24180000,8960000,15079334,14831924
2020-11-16,62560000,8960000,22924889,22053642,55390000,8960000,18110778,17218875,55390000,8960000,17664500,16859815,24180000,8960000,15079334,14831924
2020-11-17,62560000,8960000,22924889,22053642,55390000,8960000,18110778,17218875,55390000,8960000,17664500,16859815,24180000,8960000,15079334,14831924
2020-11-18,62560000,8960000,22942556,22073272,55390000,8960000,18200778,17320125,55390000,8960000,17938334,17077408,31400000,8960000,15528334,14995385
2020-11-19,62560000,8960000,22895223,22020680,55390000,8960000,18203445,17323125,55390000,8960000,17874667,17006667,31400000,8960000,15655334,15141924
2020-11-20,62560000,8960000,22830889,21949198,55390000,8960000,18234778,17358375,55390000,8960000,17931334,17069630,31400000,8960000,15794000,15301924
2020-11-21,62560000,8960000,22727889,21837099,55390000,8960000,18220445,17342250,55390000,8960000,17913667,17050000,31400000,8960000,15753667,15255385
2020-11-22,62560000,8960000,22630500,21728889,55390000,8960000,18210667,17331250,55390000,8960000,17924667,17062223,31400000,8960000,15787334,15294231
2020-11-23,62560000,8960000,22630500,21728889,55390000,8960000,18210667,17331250,55390000,8960000,17924667,17062223,31400000,8960000,15787334,15294231
2020-11-24,62560000,8960000,22630500,21728889,55390000,8960000,18210667,17331250,55390000,8960000,17924667,17062223,31400000,8960000,15787334,15294231
2020-11-25,62560000,8960000,22530945,21618272,55390000,8960000,18244112,17368875,55390000,8960000,18047500,17198704,31400000,8960000,15735000,15233847
2020-11-26,62560000,8960000,22433778,21512038,55390000,8960000,18310334,17443375,55390000,8960000,18207834,17376852,31400000,8960000,15959000,15492308
2020-11-27,62560000,8960000,22307167,21374692,55390000,8960000,18322112,17444000,55390000,8960000,18005000,17151482,31400000,8960000,15908000,15433462
2020-11-28,62560000,8960000,22307167,21374692,55390000,8960000,18322112,17444000,55390000,8960000,18005000,17151482,31400000,8960000,15908000,15433462
2020-11-29,62560000,7500000,22143945,21226791,55390000,7500000,18034334,17206750,55390000,7500000,17786167,16981112,31400000,7500000,15683667,15325770
2020-11-30,62560000,7500000,22143945,21226791,55390000,7500000,18034334,17206750,55390000,7500000,17786167,16981112,31400000,7500000,15683667,15325770
2020-12-01,62560000,7500000,22143945,21226791,55390000,7500000,18034334,17206750,55390000,7500000,17786167,16981112,31400000,7500000,15683667,15325770
