date,max_180,min_180,mean_180,adjusted_mean_180,max_90,min_90,mean_90,adjusted_mean_90,max_60,min_60,mean_60,adjusted_mean_60,max_30,min_30,mean_30,adjusted_mean_30
2020-10-18,201190000,23320000,58076056,54742593,91270000,23320000,44057112,42874375,82430000,23320000,38784834,37923334,82430000,24150000,43303667,42496924
2020-10-20,201190000,23320000,56530112,53031359,91270000,23320000,43189112,41990250,82430000,24150000,38977167,38099815,62280000,25330000,41518334,41307308
2020-10-21,201190000,23320000,56305334,52781605,82430000,23320000,42517778,41470750,82430000,24150000,38988334,38112223,54280000,25330000,40470667,40512308
2020-10-21,201190000,23320000,56181389,52643889,82430000,23320000,42271667,41251625,82430000,24150000,39197000,38344075,54280000,25330000,40523334,40568847
2020-10-22,201190000,23320000,56181389,52643889,82430000,23320000,42271667,41251625,82430000,24150000,39197000,38344075,54280000,25330000,40523334,40568847
2020-10-23,201190000,23320000,56007612,52450803,82430000,23320000,41896112,40944500,82430000,24150000,39394500,38563519,54280000,25330000,40325334,40340385
2020-10-24,201190000,23320000,55795167,52214754,82430000,23320000,41476556,40656125,82430000,24150000,39462000,38638519,51630000,25330000,39912000,39969616
2020-10-25,201190000,23320000,55674945,52081173,82430000,23320000,41202556,40347875,82430000,24150000,39277167,38433149,51630000,25330000,39492334,39485385
2020-10-26,201190000,23320000,55674945,52081173,82430000,23320000,41202556,40347875,82430000,24150000,39277167,38433149,51630000,25330000,39492334,39485385
2020-10-27,201190000,23320000,55674945,52081173,82430000,23320000,41202556,40347875,82430000,24150000,39277167,38433149,51630000,25330000,39492334,39485385
2020-10-28,201190000,23320000,55720612,52131914,82430000,23320000,41263000,40415875,82430000,24150000,39129000,38420000,53570000,25330000,39981667,39971154
2020-10-29,201190000,23320000,55620334,52020494,82430000,23320000,40910223,40143375,82430000,24150000,39296667,38606297,53570000,25330000,40319000,40360385
2020-10-30,201190000,23320000,55649223,52052593,82430000,23320000,41350000,40580875,82430000,24150000,39867167,39003889,67040001,25330000,41492000,41121154
2020-10-31,201190000,23320000,55754056,52169075,82430000,23320000,41492445,40741125,82430000,24150000,40374667,39536482,67040001,25330000,42482000,41863462
2020-11-01,201190000,23320000,55886223,52315926,82430000,23320000,41667667,40938250,82430000,24150000,40844834,40058889,67040001,25330000,43184334,42673847
2020-11-02,201190000,23320000,55886223,52315926,82430000,23320000,41667667,40938250,82430000,24150000,40844834,40058889,67040001,25330000,43184334,42673847
2020-11-03,201190000,23320000,55886223,52315926,82430000,23320000,41667667,40938250,82430000,24150000,40844834,40058889,67040001,25330000,43184334,42673847
2020-11-04,201190000,23320000,55873445,52301729,82430000,23320000,41550445,40806375,82430000,24150000,41118000,40362408,67040001,25330000,43133334,42615000
2020-11-05,201190000,23320000,55541556,51932963,82430000,23320000,41715667,40992250,82430000,24150000,41374834,40647778,67040001,25330000,43424667,42951154
2020-11-06,201190000,23320000,55596778,51994321,82430000,23320000,41858445,40992250,82430000,24150000,42204000,41263149,80490000,25330000,44558000,43623462
2020-11-07,201190000,23320000,55463278,51845988,82430000,23320000,42144112,41157000,82430000,24150000,43053500,42013704,80490000,25330000,45668334,44503077
2020-11-08,201190000,23320000,55117334,51461605,82430000,23320000,42300667,41333125,82430000,24150000,43582500,42567593,80490000,25330000,46028334,44918462
2020-11-09,201190000,23320000,55117334,51461605,82430000,23320000,42300667,41333125,82430000,24150000,43582500,42567593,80490000,25330000,46028334,44918462
2020-11-10,201190000,23320000,55117334,51461605,82430000,23320000,42300667,41333125,82430000,24150000,43582500,42567593,80490000,25330000,46028334,44918462
2020-11-10,201190000,23320000,54921612,51244136,82430000,23320000,42356445,41333125,82430000,24150000,44378500,43449075,80490000,29670000,47656667,46585000
2020-11-11,201190000,23320000,54921612,51244136,82430000,23320000,42356445,41333125,82430000,24150000,44378500,43449075,80490000,29670000,47656667,46585000
2020-11-12,201190000,23320000,54456223,50996112,82430000,23320000,42726334,41746125,82430000,24150000,44925667,44057038,80490000,29670000,48277334,47301154
2020-11-13,171340000,23320000,53595556,50639692,82430000,23320000,42770667,41796000,82430000,24150000,45223667,44388149,80490000,29670000,48102334,47099231
2020-11-14,171340000,23320000,53071389,50264692,82430000,23320000,42502334,41494125,82430000,24150000,45263667,44432593,80490000,29670000,48374000,47412693
2020-11-15,171340000,23320000,52545223,49931050,82430000,23320000,42522334,41516625,82430000,24150000,45470834,44662778,80490000,29670000,48741667,47836924
2020-11-16,171340000,23320000,52545223,49931050,82430000,23320000,42522334,41516625,82430000,24150000,45470834,44662778,80490000,29670000,48741667,47836924
2020-11-17,171340000,23320000,52545223,49931050,82430000,23320000,42522334,41516625,82430000,24150000,45470834,44662778,80490000,29670000,48741667,47836924
2020-11-18,171340000,23320000,52442723,49817161,82430000,23320000,42684223,41698750,82430000,24150000,46054667,45292408,80490000,29670000,49346667,48535000
2020-11-19,171340000,23320000,52032000,49405124,82430000,23320000,42428778,41411375,82430000,24150000,46153500,45364075,80490000,29670000,48941667,48067693
2020-11-20,171340000,23320000,51633834,49000865,82430000,23320000,42251334,41211750,82430000,24150000,46168000,45380186,80490000,30850000,49030667,48095770
2020-11-21,171340000,23320000,50989056,48601482,82430000,23320000,42149223,41096875,82430000,24150000,46090834,45337963,80490000,27320000,48878000,48084616
2020-11-22,171340000,23320000,50382667,48245618,82430000,23320000,42068223,41005750,82430000,25330000,46248667,45411112,80490000,27320000,48664000,47837693
2020-11-23,171340000,23320000,50382667,48245618,82430000,23320000,42068223,41005750,82430000,25330000,46248667,45411112,80490000,27320000,48664000,47837693
2020-11-24,171340000,23320000,50382667,48245618,82430000,23320000,42068223,41005750,82430000,25330000,46248667,45411112,80490000,27320000,48664000,47837693
