date,max_180,min_180,mean_180,adjusted_mean_180,max_90,min_90,mean_90,adjusted_mean_90,max_60,min_60,mean_60,adjusted_mean_60,max_30,min_30,mean_30,adjusted_mean_30
2020-12-08,4330000,884920,1851867,1784568,4330000,884920,1808934,1745125,4330000,884920,1738734,1674260,4330000,884920,1772498,1666924
2020-12-09,4330000,884920,1836756,1772099,4330000,884920,1805045,1740750,4330000,884920,1734067,1669075,4330000,884920,1770498,1664616
2020-12-10,4330000,884920,1824256,1759630,4330000,884920,1779045,1716375,4330000,884920,1723901,1657778,4330000,884920,1745164,1635385
2020-12-11,4330000,884920,1809978,1749445,4330000,884920,1769934,1706125,4330000,884920,1726901,1661112,4330000,884920,1754498,1646154
2020-12-12,4330000,884920,1797701,1738642,4330000,884920,1763934,1699375,4330000,884920,1727734,1662038,4330000,884920,1738831,1628077
2020-12-13,4330000,884920,1786645,1727038,4330000,884920,1755490,1689875,4330000,884920,1716734,1649815,4330000,884920,1712831,1598077
2020-12-14,4330000,884920,1786645,1727038,4330000,884920,1755490,1689875,4330000,884920,1716734,1649815,4330000,884920,1712831,1598077
2020-12-15,4330000,884920,1786645,1727038,4330000,884920,1755490,1689875,4330000,884920,1716734,1649815,4330000,884920,1712831,1598077
2020-12-16,4330000,884920,1781034,1720803,4330000,884920,1750601,1684375,4330000,884920,1691067,1625186,3570000,884920,1620498,1556539
2020-12-17,4330000,884920,1775256,1714383,4330000,884920,1749156,1682750,4330000,884920,1667067,1603149,3570000,884920,1584164,1514616
2020-12-18,4330000,884920,1770312,1708889,4330000,884920,1750934,1684750,4330000,884920,1664901,1600741,3570000,884920,1577164,1506539
2020-12-19,4330000,884920,1768423,1706791,4330000,884920,1752823,1686875,4330000,884920,1664234,1600000,2640000,884920,1512164,1480000
2020-12-20,4330000,884920,1777812,1711667,4330000,884920,1781267,1707625,4330000,884920,1706734,1622038,4000000,884920,1576498,1489231
2020-12-21,4330000,884920,1777812,1711667,4330000,884920,1781267,1707625,4330000,884920,1706734,1622038,4000000,884920,1576498,1489231
2020-12-22,4330000,884920,1777812,1711667,4330000,884920,1781267,1707625,4330000,884920,1706734,1622038,4000000,884920,1576498,1489231
2020-12-23,4330000,884920,1773201,1706544,4330000,884920,1785378,1712250,4330000,884920,1715234,1631482,4000000,884920,1582164,1495770
2020-12-24,4330000,884920,1765111,1699013,4330000,884920,1780644,1709125,4330000,884920,1697299,1613704,4000000,884920,1537628,1448847
