date,max_180,min_180,mean_180,adjusted_mean_180,max_90,min_90,mean_90,adjusted_mean_90,max_60,min_60,mean_60,adjusted_mean_60,max_30,min_30,mean_30,adjusted_mean_30
2020-12-08,9510000,358570,1685672,1500196,3780000,358570,1058969,1018185,3780000,358570,1104628,1055423,3780000,358570,1105662,1024874
2020-12-09,9510000,358570,1661426,1478009,3780000,358570,1053143,1011631,3780000,358570,1081555,1036268,3780000,358570,1109263,1029029
2020-12-10,9510000,358570,1632234,1456499,3780000,358570,1048981,1006948,3780000,358570,1072145,1025813,3780000,358570,1091443,1008468
2020-12-11,9510000,358570,1602980,1435106,3780000,358570,1042474,999628,3780000,358570,1069692,1023086,3780000,358570,1092277,1009430
2020-12-12,9190000,358570,1553105,1413219,3780000,358570,1038626,995397,3780000,358570,1055233,1007933,3780000,358570,1065694,978757
2020-12-13,9190000,358570,1531302,1393692,3780000,358570,1032465,989303,3780000,358570,1046924,999941,3780000,358570,1031542,940856
2020-12-14,9190000,358570,1531302,1393692,3780000,358570,1032465,989303,3780000,358570,1046924,999941,3780000,358570,1031542,940856
2020-12-15,9190000,358570,1531302,1393692,3780000,358570,1032465,989303,3780000,358570,1046924,999941,3780000,358570,1031542,940856
2020-12-16,9190000,358570,1518652,1379637,3780000,358570,1026942,983090,3780000,358570,1032306,983700,3780000,358570,1036692,946797
2020-12-17,9190000,358570,1507165,1366873,3780000,358570,1025211,981143,3780000,358570,1021344,971519,3780000,358570,1035883,945864
2020-12-18,9190000,358570,1492981,1351113,3780000,358570,1019176,974353,3780000,358570,1017210,966926,3780000,358570,1029635,938655
2020-12-19,9190000,358570,1480701,1337469,3780000,358570,1007062,960725,3780000,358570,1009539,958402,3780000,358570,1029695,938724
2020-12-20,9190000,358570,1473701,1329691,3780000,358570,1018951,966225,3780000,358570,1025705,964699,3780000,358570,1083191,978143
2020-12-21,9190000,358570,1473701,1329691,3780000,358570,1018951,966225,3780000,358570,1025705,964699,3780000,358570,1083191,978143
2020-12-22,9190000,358570,1473701,1329691,3780000,358570,1018951,966225,3780000,358570,1025705,964699,3780000,358570,1083191,978143
2020-12-23,9190000,358570,1464868,1319876,3780000,358570,1022951,970725,3780000,358570,1035682,975784,3780000,358570,1107949,1006709
2020-12-24,9190000,358570,1437428,1304640,3780000,358570,1024168,971328,3780000,358570,1026695,965798,2460000,358570,1001307,956739
2020-12-25,9190000,358570,1418535,1291302,3780000,358570,1026086,973486,3780000,358570,1020850,959304,2460000,358570,964951,916712
2020-12-26,9190000,354570,1397227,1276801,3780000,354570,1021980,971091,3780000,354570,1011385,951565,2460000,354570,947302,900612
2020-12-27,9190000,354570,1397227,1276801,3780000,354570,1021980,971091,3780000,354570,1011385,951565,2460000,354570,947302,900612
2020-12-28,9190000,354570,1397227,1276801,3780000,354570,1021980,971091,3780000,354570,1011385,951565,2460000,354570,947302,900612
2020-12-29,9190000,354570,1397227,1276801,3780000,354570,1021980,971091,3780000,354570,1011385,951565,2460000,354570,947302,900612
2020-12-30,9190000,354570,1389894,1268653,3780000,354570,1026598,976286,3780000,354570,1013427,953833,2460000,354570,943968,896766
2020-12-31,9190000,354570,1380409,1258115,3780000,354570,1027826,977668,3780000,354570,1012140,952404,2460000,354570,953990,908329
2021-01-01,9190000,354570,1372042,1248817,3780000,354570,1027082,976830,3780000,354570,1012627,952945,2460000,354570,937785,889631
2021-01-02,9190000,354570,1361635,1237254,3780000,354570,1029666,979738,3780000,354570,1007074,946775,2460000,354570,937372,889155
2021-01-03,9190000,354570,1361635,1237254,3780000,354570,1029666,979738,3780000,354570,1007074,946775,2460000,354570,937372,889155
2021-01-04,9190000,354570,1361635,1237254,3780000,354570,1029666,979738,3780000,354570,1007074,946775,2460000,354570,937372,889155
2021-01-05,9190000,354570,1361635,1237254,3780000,354570,1029666,979738,3780000,354570,1007074,946775,2460000,354570,937372,889155
2021-01-06,9190000,354570,1360024,1235464,3780000,354570,1045885,995859,3780000,354570,1025456,964978,2460000,354570,980329,932182
2021-01-07,9190000,354570,1349857,1225032,3780000,354570,1051524,1002203,3780000,354570,1015290,953681,2460000,354570,1004176,959698
2021-01-08,9190000,354570,1349135,1224230,3780000,354570,1059359,1011017,3780000,354570,1017290,955903,2460000,354570,1031453,991171
2021-01-09,9190000,354570,1345635,1220341,3780000,354570,1066051,1017861,3780000,354570,1019689,958569,2460000,354570,1035275,995581
2021-01-10,9190000,354570,1343302,1217749,3780000,354570,1057829,1008612,3780000,354570,1019510,958371,2460000,354570,1005610,961352
2021-01-11,9190000,354570,1343302,1217749,3780000,354570,1057829,1008612,3780000,354570,1019510,958371,2460000,354570,1005610,961352
2021-01-12,9190000,354570,1343302,1217749,3780000,354570,1057829,1008612,3780000,354570,1019510,958371,2460000,354570,1005610,961352
2021-01-13,9190000,354570,1342311,1216647,3780000,354570,1051513,1001506,3780000,354570,1023833,963174,2460000,354570,1008318,964477
2021-01-14,9190000,354570,1332656,1206364,3780000,354570,1042759,992288,3780000,354570,1019696,958578,2460000,354570,1012436,965118
2021-01-15,9190000,354570,1320111,1193784,3780000,354570,1039539,988665,3780000,354570,1016742,955295,2460000,354570,983503,931734
2021-01-16,9190000,354570,1300056,1184710,3780000,354570,1043779,993435,3780000,354570,1018576,957333,2460000,354570,988967,938039
