date,max_180,min_180,mean_180,adjusted_mean_180,max_90,min_90,mean_90,adjusted_mean_90,max_60,min_60,mean_60,adjusted_mean_60,max_30,min_30,mean_30,adjusted_mean_30
2020-12-08,17650000,2070000,4017278,3721791,17650000,2070000,3801112,3593375,17650000,2070000,4026167,3753889,7860000,2070000,4464000,4410770
2020-12-09,17650000,2070000,3998667,3701112,17650000,2070000,3790000,3580875,17650000,2070000,4034667,3763334,7860000,2070000,4500000,4436924
2020-12-10,17650000,2070000,3984223,3685062,17650000,2070000,3779223,3568750,17650000,2070000,4034500,3763149,7860000,2070000,4514334,4453462
2020-12-11,17650000,2070000,3925334,3666667,17650000,2070000,3789112,3579875,17650000,2070000,4044667,3774445,7860000,2070000,4513667,4452693
2020-12-12,17650000,2070000,3881500,3646729,17650000,2070000,3775000,3564000,17650000,2070000,4028667,3756667,7860000,2070000,4381667,4345000
2020-12-13,17650000,2070000,3866056,3631914,17650000,2070000,3781667,3571500,17650000,2070000,4020500,3747593,7860000,2070000,4337667,4294231
2020-12-14,17650000,2070000,3866056,3631914,17650000,2070000,3781667,3571500,17650000,2070000,4020500,3747593,7860000,2070000,4337667,4294231
2020-12-15,17650000,2070000,3866056,3631914,17650000,2070000,3781667,3571500,17650000,2070000,4020500,3747593,7860000,2070000,4337667,4294231
2020-12-16,17650000,2070000,3859000,3624075,17650000,2070000,3779000,3568500,7860000,2070000,3777167,3698519,7860000,2070000,4262000,4206924
2020-12-17,17650000,2070000,3834500,3607470,17650000,2070000,3778445,3567875,7860000,2070000,3741834,3659260,7860000,2070000,4201667,4137308
2020-12-18,17650000,2070000,3822778,3594445,17650000,2070000,3778778,3568250,7860000,2070000,3733667,3650186,7860000,2070000,4138667,4064616
2020-12-19,17650000,2070000,3812500,3583025,17650000,2070000,3768556,3556750,7860000,2070000,3732000,3648334,7860000,2070000,4069334,3984616
2020-12-20,17650000,2070000,3843612,3588642,17650000,2070000,3847112,3585875,10290000,2070000,3854667,3699630,10290000,2070000,4238000,4002693
2020-12-21,17650000,2070000,3843612,3588642,17650000,2070000,3847112,3585875,10290000,2070000,3854667,3699630,10290000,2070000,4238000,4002693
2020-12-22,17650000,2070000,3843612,3588642,17650000,2070000,3847112,3585875,10290000,2070000,3854667,3699630,10290000,2070000,4238000,4002693
2020-12-23,17650000,2070000,3837389,3581729,17650000,2070000,3858667,3598875,10290000,2070000,3875334,3722593,10290000,2070000,4244334,4010000
2020-12-24,17650000,2070000,3832889,3576729,17650000,2070000,3871556,3613375,10290000,2070000,3886334,3734815,10290000,2070000,4109667,3937693
2020-12-25,17650000,2070000,3839223,3583766,17650000,2070000,3904223,3650125,10290000,2070000,3928500,3781667,10290000,2070000,4128000,3958847
2020-12-26,17650000,1380000,3807612,3563766,17650000,1380000,3895112,3650125,10290000,1380000,3886167,3751852,10290000,1380000,4034334,3907308
2020-12-27,17650000,1380000,3807612,3563766,17650000,1380000,3895112,3650125,10290000,1380000,3886167,3751852,10290000,1380000,4034334,3907308
2020-12-28,17650000,1380000,3807612,3563766,17650000,1380000,3895112,3650125,10290000,1380000,3886167,3751852,10290000,1380000,4034334,3907308
2020-12-29,17650000,1380000,3807612,3563766,17650000,1380000,3895112,3650125,10290000,1380000,3886167,3751852,10290000,1380000,4034334,3907308
2020-12-30,17650000,1380000,3804556,3560618,17650000,1380000,3892667,3647875,10290000,1380000,3882834,3748149,10290000,1380000,3980000,3844616
2020-12-31,17650000,1380000,3799223,3554692,17650000,1380000,3892445,3647625,10290000,1380000,3873167,3737408,10290000,1380000,3962667,3824616
2021-01-01,17650000,1380000,3789389,3546173,17650000,1380000,3881223,3639875,10290000,1380000,3849834,3715926,10290000,1380000,3848667,3698847
2021-01-02,17650000,1380000,3785389,3542470,17650000,1380000,3875112,3634500,10290000,1380000,3817834,3680371,10290000,1380000,3762667,3599616
2021-01-03,17650000,1380000,3785389,3542470,17650000,1380000,3875112,3634500,10290000,1380000,3817834,3680371,10290000,1380000,3762667,3599616
2021-01-04,17650000,1380000,3785389,3542470,17650000,1380000,3875112,3634500,10290000,1380000,3817834,3680371,10290000,1380000,3762667,3599616
2021-01-05,17650000,1380000,3785389,3542470,17650000,1380000,3875112,3634500,10290000,1380000,3817834,3680371,10290000,1380000,3762667,3599616
2021-01-06,17650000,1380000,3781223,3537840,17650000,1380000,3878223,3638000,10290000,1380000,3812167,3674075,10290000,1380000,3681334,3505770
2021-01-07,17650000,1380000,3776667,3532778,17650000,1380000,3875556,3635000,10290000,1380000,3816167,3678519,10290000,1380000,3651667,3471539
2021-01-08,17650000,1380000,3779223,3535618,17650000,1380000,3887334,3648250,10290000,1380000,3837834,3702593,10290000,1380000,3631000,3447693
2021-01-09,17650000,1380000,3789000,3546482,17650000,1380000,3898667,3661000,10290000,1380000,3870500,3738889,10290000,1380000,3609000,3422308
2021-01-10,17650000,1380000,3787389,3544692,17650000,1380000,3893778,3655500,10290000,1380000,3876167,3745186,10290000,1380000,3539334,3341924
2021-01-11,17650000,1380000,3787389,3544692,17650000,1380000,3893778,3655500,10290000,1380000,3876167,3745186,10290000,1380000,3539334,3341924
2021-01-12,17650000,1380000,3787389,3544692,17650000,1380000,3893778,3655500,10290000,1380000,3876167,3745186,10290000,1380000,3539334,3341924
2021-01-13,17650000,1380000,3781778,3538457,17650000,1380000,3878000,3637750,10290000,1380000,3873334,3742038,10290000,1380000,3484000,3278077
2021-01-14,17650000,1380000,3795889,3552778,17650000,1380000,3907112,3669000,10290000,1380000,3930334,3805371,10290000,1380000,3609000,3417693
2021-01-15,17650000,1380000,3804834,3562717,17650000,1380000,3894000,3654250,10290000,1380000,3954167,3831852,10290000,1380000,3554334,3354616
2021-01-16,17650000,1380000,3804112,3561914,17650000,1380000,3869223,3626375,10290000,1380000,3948500,3825556,10290000,1380000,3538334,3336154
2021-01-17,17650000,1380000,3786223,3542038,17650000,1380000,3838778,3592125,10290000,1380000,3934667,3810186,10290000,1380000,3495000,3286154
2021-01-18,17650000,1380000,3786223,3542038,17650000,1380000,3838778,3592125,10290000,1380000,3934667,3810186,10290000,1380000,3495000,3286154
2021-01-19,17650000,1380000,3786223,3542038,17650000,1380000,3838778,3592125,10290000,1380000,3934667,3810186,10290000,1380000,3495000,3286154
2021-01-20,17650000,1380000,3786223,3542038,17650000,1380000,3838778,3592125,10290000,1380000,3934667,3810186,10290000,1380000,3495000,3286154
2021-01-21,17650000,1380000,3781945,3537284,17650000,1380000,3829778,3582000,10290000,1380000,3933334,3808704,10290000,1380000,3487000,3276924
2021-01-22,17650000,1380000,3775556,3530186,17650000,1380000,3819000,3569875,10290000,1380000,3934334,3809815,10290000,1380000,3404667,3181924
2021-01-23,17650000,1380000,3772834,3527161,17650000,1380000,3817445,3568125,10290000,1380000,3941500,3817778,10290000,1380000,3383000,3156924
2021-01-24,17650000,1380000,3771056,3525186,17650000,1380000,3821000,3572125,10290000,1380000,3954167,3831852,10290000,1380000,3394000,3169616
2021-01-25,17650000,1380000,3771056,3525186,17650000,1380000,3821000,3572125,10290000,1380000,3954167,3831852,10290000,1380000,3394000,3169616
2021-01-26,17650000,1380000,3771056,3525186,17650000,1380000,3821000,3572125,10290000,1380000,3954167,3831852,10290000,1380000,3394000,3169616
2021-01-27,17650000,1380000,3782445,3537840,17650000,1380000,3841112,3594750,10290000,1380000,3973834,3853704,10290000,1380000,3434000,3215770
2021-01-28,17650000,1380000,3790167,3546420,17650000,1380000,3842778,3596625,10290000,1380000,3926334,3819260,10290000,1380000,3471000,3258462
2021-01-29,17650000,1380000,3798612,3555803,17650000,1380000,3850223,3605000,10290000,1380000,3923667,3816297,10290000,1380000,3509667,3303077
2021-01-30,17650000,1380000,3801778,3559321,10290000,1380000,3701556,3587125,10290000,1380000,3906167,3796852,10290000,1380000,3550334,3350000
2021-01-31,17650000,1380000,3806389,3564445,10290000,1380000,3703889,3589750,10290000,1380000,3914834,3806482,10290000,1380000,3628000,3439616
2021-02-01,17650000,1380000,3806389,3564445,10290000,1380000,3703889,3589750,10290000,1380000,3914834,3806482,10290000,1380000,3628000,3439616
2021-02-02,17650000,1380000,3806389,3564445,10290000,1380000,3703889,3589750,10290000,1380000,3914834,3806482,10290000,1380000,3628000,3439616
2021-02-03,17650000,1380000,3794945,3551729,10290000,1380000,3698445,3583625,10290000,1380000,3883334,3771482,10290000,1380000,3628000,3439616
2021-02-04,17650000,1380000,3756389,3536729,10290000,1380000,3698223,3583375,10290000,1380000,3850000,3734445,10290000,1380000,3630667,3442693
2021-02-05,17650000,1380000,3753612,3533642,10290000,1380000,3702667,3588375,10290000,1380000,3818334,3699260,5820000,1380000,3398667,3361539
2021-02-06,17650000,1380000,3763334,3544445,10290000,1380000,3724556,3613000,10290000,1380000,3833667,3716297,5820000,1380000,3423000,3389616
2021-02-07,17650000,1380000,3762556,3543581,10290000,1380000,3741112,3631625,10290000,1380000,3780167,3696852,5820000,1380000,3450667,3421539
2021-02-08,17650000,1380000,3762556,3543581,10290000,1380000,3741112,3631625,10290000,1380000,3780167,3696852,5820000,1380000,3450667,3421539
2021-02-09,17650000,1380000,3762556,3543581,10290000,1380000,3741112,3631625,10290000,1380000,3780167,3696852,5820000,1380000,3450667,3421539
2021-02-10,17650000,1380000,3760778,3541605,10290000,1380000,3754445,3646625,10290000,1380000,3767167,3682408,5820000,1380000,3406334,3378077
2021-02-11,17650000,1380000,3762334,3543334,10290000,1380000,3746000,3637125,10290000,1380000,3750000,3663334,5820000,1920000,3465667,3416539
2021-02-12,17650000,1380000,3759167,3539815,10290000,1380000,3754112,3646250,10290000,1380000,3738334,3650371,5820000,1920000,3496667,3452308
2021-02-13,17650000,1380000,3747112,3526420,10290000,1380000,3747556,3638875,10290000,1380000,3729500,3640556,5820000,1920000,3496334,3451924
2021-02-14,17650000,1380000,3735389,3514877,10290000,1380000,3732778,3624375,10290000,1380000,3673667,3580000,5820000,1990000,3498667,3451924
2021-02-15,17650000,1380000,3735389,3514877,10290000,1380000,3732778,3624375,10290000,1380000,3673667,3580000,5820000,1990000,3498667,3451924
2021-02-16,17650000,1380000,3735389,3514877,10290000,1380000,3732778,3624375,10290000,1380000,3673667,3580000,5820000,1990000,3498667,3451924
2021-02-17,17650000,1380000,3735389,3514877,10290000,1380000,3732778,3624375,10290000,1380000,3673667,3580000,5820000,1990000,3498667,3451924
2021-02-18,17650000,1380000,3651889,3495865,10290000,1380000,3713667,3602875,10290000,1380000,3634000,3535926,5820000,1990000,3505334,3451924
2021-02-19,17650000,1380000,3641000,3483766,10290000,1380000,3709334,3598000,10290000,1380000,3592500,3489815,5820000,1990000,3503667,3450000
2021-02-20,17650000,1380000,3648500,3492099,10290000,1380000,3730223,3621500,10290000,1380000,3605000,3503704,5820000,1990000,3558334,3513077
2021-02-21,17650000,1380000,3654556,3498828,10290000,1380000,3754556,3648875,10290000,1380000,3609500,3508704,5820000,1990000,3588000,3547308
2021-02-22,17650000,1380000,3654556,3498828,10290000,1380000,3754556,3648875,10290000,1380000,3609500,3508704,5820000,1990000,3588000,3547308
2021-02-23,17650000,1380000,3654556,3498828,10290000,1380000,3754556,3648875,10290000,1380000,3609500,3508704,5820000,1990000,3588000,3547308
2021-02-24,17650000,1380000,3655556,3499939,10290000,1380000,3784334,3682375,10290000,1380000,3610500,3509815,5820000,1990000,3612000,3575000
2021-02-25,17650000,1380000,3653556,3497717,10290000,1380000,3795556,3695000,10290000,1380000,3586834,3483519,5820000,1990000,3634334,3600770
2021-02-26,17650000,1380000,3656056,3500494,10290000,1380000,3816000,3718000,10290000,1380000,3592667,3490000,5820000,1990000,3701334,3678077
2021-02-27,17650000,1380000,3666556,3512161,10290000,1380000,3846112,3751875,10290000,1380000,3643334,3546297,5240000,1990000,3677667,3678077
2021-02-28,17650000,1380000,3681000,3522099,10290000,1380000,3888334,3790250,10290000,1380000,3655500,3546297,6430000,1990000,3756667,3718462
2021-03-01,17650000,1380000,3681000,3522099,10290000,1380000,3888334,3790250,10290000,1380000,3655500,3546297,6430000,1990000,3756667,3718462
2021-03-02,17650000,1380000,3681000,3522099,10290000,1380000,3888334,3790250,10290000,1380000,3655500,3546297,6430000,1990000,3756667,3718462
2021-03-03,17650000,1380000,3670723,3510680,10290000,1380000,3891889,3794250,10290000,1380000,3658500,3549630,6430000,1990000,3778667,3743847
2021-03-04,17650000,1380000,3673445,3513704,10290000,1380000,3898000,3801125,10290000,1380000,3659834,3551112,6430000,1990000,3824667,3796924
2021-03-05,17650000,1380000,3672945,3513149,10290000,1380000,3902889,3806625,10290000,1380000,3664500,3556297,6430000,1990000,3842000,3816924
2021-03-06,17650000,1380000,3678612,3519445,10290000,1380000,3926889,3833625,10290000,1380000,3658334,3549445,6430000,1990000,3912000,3897693
2021-03-07,17650000,1380000,3683056,3524383,10290000,1380000,3946112,3855250,10290000,1380000,3669167,3561482,6430000,1990000,3955334,3947693
2021-03-08,17650000,1380000,3683056,3524383,10290000,1380000,3946112,3855250,10290000,1380000,3669167,3561482,6430000,1990000,3955334,3947693
2021-03-09,17650000,1380000,3683056,3524383,10290000,1380000,3946112,3855250,10290000,1380000,3669167,3561482,6430000,1990000,3955334,3947693
2021-03-10,17650000,1380000,3694445,3537038,10290000,1380000,3967112,3878875,10290000,1380000,3693500,3588519,6430000,1990000,3993000,3991154
2021-03-11,17650000,1380000,3670334,3524013,10290000,1380000,3961334,3872375,10290000,1380000,3685167,3579260,6430000,1990000,3936334,3925770
