date,max_180,min_180,mean_180,adjusted_mean_180,max_90,min_90,mean_90,adjusted_mean_90,max_60,min_60,mean_60,adjusted_mean_60,max_30,min_30,mean_30,adjusted_mean_30
2020-10-25,205310000,29080000,66408056,64343396,205310000,29080000,57503223,53539125,155680000,30970000,53914667,51963704,80350000,31470000,48383334,47859616
2020-10-26,205310000,29080000,66408056,64343396,205310000,29080000,57503223,53539125,155680000,30970000,53914667,51963704,80350000,31470000,48383334,47859616
2020-10-27,205310000,29080000,66408056,64343396,205310000,29080000,57503223,53539125,155680000,30970000,53914667,51963704,80350000,31470000,48383334,47859616
2020-10-28,205310000,29080000,66455000,64395556,205310000,29080000,57826223,53902500,155680000,30970000,53876667,51921482,80350000,31470000,49115667,48405000
2020-10-29,205310000,29080000,66910278,64600494,205310000,29080000,58980334,54591500,156670000,30970000,55777334,52772963,156670000,31470000,52409000,48849231
2020-10-30,205310000,29080000,67086223,64795988,205310000,29080000,59386112,55048000,156670000,30970000,54242167,52309260,156670000,31470000,53583667,50204616
2020-10-31,205310000,29080000,67080889,64790062,205310000,29080000,59362445,55021375,156670000,30970000,54199667,52262038,156670000,31470000,53594667,50217308
2020-11-01,205310000,29080000,66975778,64673272,205310000,29080000,59365778,55025125,156670000,30970000,53947834,51982223,156670000,31470000,53265334,49837308
2020-11-02,205310000,29080000,66975778,64673272,205310000,29080000,59365778,55025125,156670000,30970000,53947834,51982223,156670000,31470000,53265334,49837308
2020-11-03,205310000,29080000,66975778,64673272,205310000,29080000,59365778,55025125,156670000,30970000,53947834,51982223,156670000,31470000,53265334,49837308
2020-11-04,205310000,29080000,66904445,64594013,205310000,29080000,59146556,54778500,156670000,30970000,53534834,51523334,156670000,31470000,52922667,49441924
2020-11-05,205310000,29080000,66721278,64390494,205310000,29080000,59050112,54670000,156670000,30970000,52924000,50844630,156670000,31470000,52886000,49399616
2020-11-06,205310000,29080000,66599223,64254877,205310000,29080000,59320112,54973750,156670000,30970000,52556834,50457963,156670000,31470000,53187334,49747308
2020-11-07,205310000,29080000,66376556,64007470,205310000,29080000,59477556,55150875,156670000,30970000,52375667,50256667,156670000,31470000,53131667,49683077
2020-11-08,205310000,29080000,66182834,63792223,205310000,30970000,59752556,55402500,156670000,30970000,52566334,50468519,156670000,31470000,53325667,49906924
2020-11-09,205310000,29080000,66182834,63792223,205310000,30970000,59752556,55402500,156670000,30970000,52566334,50468519,156670000,31470000,53325667,49906924
2020-11-10,205310000,29080000,66182834,63792223,205310000,30970000,59752556,55402500,156670000,30970000,52566334,50468519,156670000,31470000,53325667,49906924
2020-11-10,205310000,29080000,66025500,63617408,205310000,30970000,59994889,55675125,156670000,30970000,53018500,50929260,156670000,31470000,53224000,49789616
2020-11-11,205310000,29080000,66025500,63617408,205310000,30970000,59994889,55675125,156670000,30970000,53018500,50929260,156670000,31470000,53224000,49789616
2020-11-12,205310000,29080000,65807278,63374939,205310000,30970000,60383667,56080500,156670000,31470000,53621334,51497963,156670000,31470000,53744334,50390000
2020-11-13,205310000,29080000,65495834,63028889,205310000,30970000,60483667,56193000,156670000,31470000,53739667,51629445,156670000,31470000,53492000,50098847
2020-11-14,205310000,29080000,65134556,62627470,205310000,30970000,59929000,55569000,156670000,31470000,53645500,51524815,156670000,31470000,52973334,49500385
2020-11-15,205310000,29080000,64515000,62181112,205310000,30450000,59602445,55254875,156670000,30450000,53348334,51305371,156670000,30450000,52419667,48986539
