date,max_180,min_180,mean_180,adjusted_mean_180,max_90,min_90,mean_90,adjusted_mean_90,max_60,min_60,mean_60,adjusted_mean_60,max_30,min_30,mean_30,adjusted_mean_30
2020-12-08,770350,4840,79099,61953,770350,16510,136327,118570,770350,33010,167914,151737,770350,38660,259560,246087
2020-12-09,770350,4840,82629,63890,770350,21880,143438,123574,770350,33010,178090,159705,770350,38660,279697,263819
2020-12-10,770350,4840,85458,65936,770350,21880,149066,128913,770350,35640,186360,168671,770350,38660,295132,281113
2020-12-11,770350,4840,88725,68186,770350,21880,155047,133944,770350,35640,195206,176968,770350,79580,314242,301584
2020-12-12,770350,4840,90019,69624,770350,21880,157191,136357,770350,35640,198198,180292,770350,79580,319667,307844
2020-12-13,770350,4840,92012,71839,770350,21880,160606,140199,770350,35640,203697,186402,770350,79710,329837,319540
2020-12-14,770350,4840,92012,71839,770350,21880,160606,140199,770350,35640,203697,186402,770350,79710,329837,319540
2020-12-15,770350,4840,92012,71839,770350,21880,160606,140199,770350,35640,203697,186402,770350,79710,329837,319540
2020-12-16,770350,4840,93491,73481,770350,21880,163362,143299,770350,38660,207948,190922,770350,80540,336871,326534
2020-12-17,770350,4840,94737,74866,770350,28190,166488,146644,770350,38660,211734,195128,770350,80540,343018,333627
2020-12-18,770350,4840,96984,77253,770350,28190,170628,151301,770350,38660,217424,201450,770350,80540,353263,344792
2020-12-19,770350,6100,98528,78945,770350,28190,172505,153413,770350,38660,221128,205566,770350,125950,360005,349138
2020-12-20,770350,6100,100559,81193,770350,28190,175456,156732,770350,38660,226002,210981,770350,125950,361273,350600
2020-12-21,770350,6100,100559,81193,770350,28190,175456,156732,770350,38660,226002,210981,770350,125950,361273,350600
2020-12-22,770350,6100,100559,81193,770350,28190,175456,156732,770350,38660,226002,210981,770350,125950,361273,350600
2020-12-23,770350,6100,102500,83348,770350,28190,178679,160358,770350,38660,231002,216537,770350,125950,366758,356929
2020-12-24,770350,6100,105557,85820,770350,28890,184655,166465,770350,38660,239168,225611,770350,125950,377116,368882
2020-12-25,770350,6100,107857,88356,770350,28890,188532,170827,770350,38660,244857,231931,770350,125950,380925,373276
2020-12-26,770350,6100,108802,89406,770350,28890,189994,172472,770350,38660,247138,234411,770350,169820,382843,373276
2020-12-27,770350,6100,108802,89406,770350,28890,189994,172472,770350,38660,247138,234411,770350,169820,382843,373276
2020-12-28,770350,6100,108802,89406,770350,28890,189994,172472,770350,38660,247138,234411,770350,169820,382843,373276
2020-12-29,770350,6100,108802,89406,770350,28890,189994,172472,770350,38660,247138,234411,770350,169820,382843,373276
2020-12-30,770350,6100,112114,91973,770350,28890,196238,178458,770350,38660,256286,244570,770350,169820,396980,389588
2020-12-31,770350,6100,114381,94492,770350,28890,200559,183175,770350,38660,262267,251216,770350,183500,405333,396922
2021-01-01,770350,6100,116577,96931,770350,33010,204755,187683,770350,38660,264933,254178,770350,183500,404489,395948
2021-01-02,770350,6100,118526,99070,770350,33010,206684,189853,770350,38660,268068,257660,770350,183500,408618,400713
2021-01-03,770350,6100,118526,99070,770350,33010,206684,189853,770350,38660,268068,257660,770350,183500,408618,400713
2021-01-04,770350,6100,118526,99070,770350,33010,206684,189853,770350,38660,268068,257660,770350,183500,408618,400713
2021-01-05,770350,6100,118526,99070,770350,33010,206684,189853,770350,38660,268068,257660,770350,183500,408618,400713
