date,max_180,min_180,mean_180,adjusted_mean_180,max_90,min_90,mean_90,adjusted_mean_90,max_60,min_60,mean_60,adjusted_mean_60,max_30,min_30,mean_30,adjusted_mean_30
2020-10-25,31560000,3040000,9038500,8334445,31560000,3040000,9038500,8334445,31560000,3040000,9038500,8334445,16810000,3040000,6648334,6250000
2020-10-26,31560000,3040000,9038500,8334445,31560000,3040000,9038500,8334445,31560000,3040000,9038500,8334445,16810000,3040000,6648334,6250000
2020-10-27,31560000,3040000,9038500,8334445,31560000,3040000,9038500,8334445,31560000,3040000,9038500,8334445,16810000,3040000,6648334,6250000
2020-10-28,31560000,3040000,8983279,8170944,31560000,3040000,8983279,8170944,31560000,3040000,8807500,8077778,16810000,3040000,6623000,6220770
2020-10-29,31560000,3040000,8907742,8099260,31560000,3040000,8907742,8099260,31560000,3040000,8683500,7940000,16810000,3040000,6453667,6025385
2020-10-30,31560000,3040000,8955782,8183036,31560000,3040000,8955782,8183036,31560000,3040000,8835334,8108704,16810000,3040000,6854000,6461924
2020-10-31,31560000,3040000,9001847,8249123,31560000,3040000,9001847,8249123,31560000,3040000,8798834,8068149,16810000,3040000,7125000,6774616
2020-11-01,31560000,3040000,9046667,8313104,31560000,3040000,9046667,8313104,31560000,3040000,8873834,8151482,16810000,3040000,7380667,7069616
2020-11-02,31560000,3040000,9046667,8313104,31560000,3040000,9046667,8313104,31560000,3040000,8873834,8151482,16810000,3040000,7380667,7069616
2020-11-03,31560000,3040000,9046667,8313104,31560000,3040000,9046667,8313104,31560000,3040000,8873834,8151482,16810000,3040000,7380667,7069616
2020-11-04,31560000,3040000,9283881,8503221,31560000,3040000,9283881,8503221,31560000,3040000,9157667,8414075,24940000,3100000,8110667,7509231
2020-11-05,31560000,3040000,9376177,8620834,31560000,3040000,9376177,8620834,31560000,3040000,9294667,8566297,24940000,3100000,8409334,7853847
2020-11-06,31560000,3040000,9660145,8841640,31560000,3040000,9660145,8841640,31560000,3040000,9684000,8924260,28970000,3100000,9146667,8236924
2020-11-07,32300000,3040000,9983572,9101291,32300000,3040000,9983572,9101291,32300000,3040000,10132667,9361112,32300000,3100000,10102000,9056154
2020-11-08,32690000,3040000,10303381,9416667,32690000,3040000,10303381,9416667,32690000,3040000,10593000,9810186,32690000,3100000,11034334,9988847
2020-11-09,32690000,3040000,10303381,9416667,32690000,3040000,10303381,9416667,32690000,3040000,10593000,9810186,32690000,3100000,11034334,9988847
2020-11-10,32690000,3040000,10303381,9416667,32690000,3040000,10303381,9416667,32690000,3040000,10593000,9810186,32690000,3100000,11034334,9988847
2020-11-10,32690000,3040000,10365139,9500000,32690000,3040000,10365139,9500000,32690000,3040000,10750500,9985186,32690000,3100000,11324000,10323077
2020-11-11,32690000,3040000,10365139,9500000,32690000,3040000,10365139,9500000,32690000,3040000,10750500,9985186,32690000,3100000,11324000,10323077
2020-11-12,32690000,3040000,10454110,9613231,32690000,3040000,10454110,9613231,32690000,3040000,10912167,10164815,32690000,3100000,11632000,10678462
2020-11-13,32690000,3040000,10473649,9647879,32690000,3040000,10473649,9647879,32690000,3040000,11055667,10324260,32690000,3100000,11847667,10927308
2020-11-14,86210000,3040000,11483467,9941493,86210000,3040000,11483467,9941493,86210000,3040000,12440167,10850556,86210000,3100000,14441334,11846539
2020-11-15,170280000,3040000,13572895,10259412,170280000,3040000,13572895,10259412,170280000,3040000,15207834,11370556,170280000,3100000,19846000,12790770
2020-11-16,170280000,3040000,13572895,10259412,170280000,3040000,13572895,10259412,170280000,3040000,15207834,11370556,170280000,3100000,19846000,12790770
2020-11-17,170280000,3040000,13572895,10259412,170280000,3040000,13572895,10259412,170280000,3040000,15207834,11370556,170280000,3100000,19846000,12790770
2020-11-18,170280000,3040000,14511689,10578841,170280000,3040000,14511689,10578841,170280000,3040000,16316167,11617408,170280000,3100000,22519334,15875385
2020-11-19,170280000,3040000,14913462,10894715,170280000,3040000,14913462,10894715,170280000,3040000,16712167,12057408,170280000,3230000,23944334,17499616
2020-11-20,170280000,3040000,15081773,11138592,170280000,3040000,15081773,11138592,170280000,3040000,16656334,11995371,170280000,3620000,24777000,18437308
2020-11-21,170280000,3040000,15231750,11360000,170280000,3040000,15231750,11360000,170280000,3040000,16619000,11953889,170280000,3620000,25552000,19313462
2020-11-22,170280000,3040000,15560494,11474508,170280000,3040000,15560494,11474508,170280000,3040000,17071167,12456297,170280000,3620000,26480667,20385000
