date,max_180,min_180,mean_180,adjusted_mean_180,max_90,min_90,mean_90,adjusted_mean_90,max_60,min_60,mean_60,adjusted_mean_60,max_30,min_30,mean_30,adjusted_mean_30
2020-12-08,2760000,408820,1164453,1125960,2610000,408820,995606,964818,2610000,538340,1045270,1008273,2610000,538340,1160563,1116314
2020-12-09,2760000,408820,1161675,1122998,2610000,408820,1005497,974444,2610000,538340,1057716,1022101,2610000,538340,1181230,1140160
2020-12-10,2760000,408820,1154286,1117072,2610000,408820,1007333,976510,2610000,538340,1064665,1029822,2610000,538340,1189632,1149855
2020-12-11,2760000,408820,1149730,1112936,2610000,408820,1013069,982963,2610000,538340,1076035,1042456,2610000,538340,1178299,1136778
2020-12-12,2760000,408820,1147619,1110590,2610000,408820,1016920,987295,2610000,538340,1078202,1044864,2610000,538340,1172299,1129855
2020-12-13,2760000,408820,1146897,1109788,2610000,408820,1018714,989313,2610000,538340,1080202,1047086,2610000,538340,1174966,1132932
2020-12-14,2760000,408820,1146897,1109788,2610000,408820,1018714,989313,2610000,538340,1080202,1047086,2610000,538340,1174966,1132932
2020-12-15,2760000,408820,1146897,1109788,2610000,408820,1018714,989313,2610000,538340,1080202,1047086,2610000,538340,1174966,1132932
2020-12-16,2760000,408820,1145675,1108430,2610000,408820,1020748,991602,2610000,538340,1065369,1033197,2610000,538340,1172299,1129855
2020-12-17,2760000,408820,1143842,1106393,2610000,408820,1026117,997642,2610000,538340,1071389,1039886,2610000,538340,1170966,1128317
2020-12-18,2760000,408820,1141949,1104290,2610000,408820,1019332,990009,2610000,538340,1070439,1038831,2610000,538340,1162278,1118293
2020-12-19,2760000,408820,1138860,1100858,2610000,408820,1010932,980559,2610000,538340,1069331,1037599,2610000,538340,1149746,1103832
2020-12-20,2760000,408820,1139972,1102093,2610000,408820,1021405,990716,2610000,538340,1086989,1056664,2610000,538340,1184155,1143535
2020-12-21,2760000,408820,1139972,1102093,2610000,408820,1021405,990716,2610000,538340,1086989,1056664,2610000,538340,1184155,1143535
2020-12-22,2760000,408820,1139972,1102093,2610000,408820,1021405,990716,2610000,538340,1086989,1056664,2610000,538340,1184155,1143535
2020-12-23,2760000,408820,1132001,1093634,2610000,408820,1019398,988459,2610000,538340,1081579,1051106,2610000,538340,1181851,1143535
2020-12-24,2760000,408820,1128217,1089430,2610000,408820,1018909,987908,2610000,538340,1081980,1051551,2610000,538340,1163817,1122727
2020-12-25,2760000,408820,1124857,1086376,2610000,408820,1014386,983774,2610000,538340,1078722,1049972,2610000,538340,1151667,1112946
2020-12-26,2760000,197340,1119675,1083331,2610000,197340,1006914,980336,2610000,197340,1059511,1036479,2610000,197340,1125800,1096474
2020-12-27,2760000,197340,1119675,1083331,2610000,197340,1006914,980336,2610000,197340,1059511,1036479,2610000,197340,1125800,1096474
2020-12-28,2760000,197340,1119675,1083331,2610000,197340,1006914,980336,2610000,197340,1059511,1036479,2610000,197340,1125800,1096474
2020-12-29,2760000,197340,1119675,1083331,2610000,197340,1006914,980336,2610000,197340,1059511,1036479,2610000,197340,1125800,1096474
2020-12-30,2760000,197340,1116747,1081451,2610000,197340,1001387,975844,2610000,197340,1047960,1026203,2610000,197340,1106893,1079710
2020-12-31,2760000,197340,1111931,1076459,2610000,197340,1000084,974378,2610000,197340,1040680,1018113,2610000,197340,1097025,1068324
2021-01-01,2760000,197340,1105561,1070724,2610000,197340,996266,972020,2610000,197340,1026069,1004749,2610000,197340,1066136,1033592
2021-01-02,2760000,197340,1101285,1066680,2610000,197340,995760,972020,2610000,197340,1015073,992532,2610000,197340,1050427,1015467
2021-01-03,2760000,197340,1101285,1066680,2610000,197340,995760,972020,2610000,197340,1015073,992532,2610000,197340,1050427,1015467
2021-01-04,2760000,197340,1101285,1066680,2610000,197340,995760,972020,2610000,197340,1015073,992532,2610000,197340,1050427,1015467
2021-01-05,2760000,197340,1101285,1066680,2610000,197340,995760,972020,2610000,197340,1015073,992532,2610000,197340,1050427,1015467
2021-01-06,2760000,197340,1099613,1064822,2610000,197340,999867,976641,2610000,197340,1019758,997738,2610000,197340,1050805,1015903
2021-01-07,2760000,197340,1097835,1062847,2610000,197340,1007259,984957,2610000,197340,1028220,1007139,2610000,197340,1063923,1031039
2021-01-08,2760000,197340,1097224,1062168,2610000,197340,1015407,994123,2610000,197340,1035531,1015263,2610000,197340,1073256,1041808
2021-01-09,2760000,197340,1100305,1065592,2610000,197340,1025753,1004144,2610000,197340,1045934,1026821,2610000,197340,1081589,1051424
2021-01-10,2760000,197340,1104211,1069931,2610000,197340,1033967,1013385,2610000,197340,1059910,1042351,2610000,197340,1084589,1054885
2021-01-11,2760000,197340,1104211,1069931,2610000,197340,1033967,1013385,2610000,197340,1059910,1042351,2610000,197340,1084589,1054885
2021-01-12,2760000,197340,1104211,1069931,2610000,197340,1033967,1013385,2610000,197340,1059910,1042351,2610000,197340,1084589,1054885
2021-01-13,2760000,197340,1106873,1072889,2610000,197340,1034523,1014010,2610000,197340,1063712,1046575,2610000,197340,1090709,1061946
2021-01-14,2760000,197340,1106817,1072827,2610000,197340,1034412,1013885,2610000,197340,1068758,1052182,2610000,197340,1107431,1081240
2021-01-15,2760000,197340,1100317,1067333,2610000,197340,1034301,1013760,2610000,197340,1065424,1048478,1920000,197340,1054764,1052010
2021-01-16,2760000,197340,1096327,1062899,2610000,197340,1032676,1011932,2610000,197340,1067124,1050366,1920000,197340,1039820,1034767
2021-01-17,2760000,197340,1098771,1065615,2610000,197340,1037787,1016932,2610000,197340,1083284,1067767,1920000,197340,1064820,1062459
2021-01-18,2760000,197340,1098771,1065615,2610000,197340,1037787,1016932,2610000,197340,1083284,1067767,1920000,197340,1064820,1062459
2021-01-19,2760000,197340,1098771,1065615,2610000,197340,1037787,1016932,2610000,197340,1083284,1067767,1920000,197340,1064820,1062459
