date,max_180,min_180,mean_180,adjusted_mean_180,max_90,min_90,mean_90,adjusted_mean_90,max_60,min_60,mean_60,adjusted_mean_60,max_30,min_30,mean_30,adjusted_mean_30
2020-10-25,86060000,10290000,29007278,27847038,86060000,10290000,26235223,24729375,40790000,10290000,22237834,22036852,40790000,12840000,21500667,21056154
2020-10-26,86060000,10290000,29007278,27847038,86060000,10290000,26235223,24729375,40790000,10290000,22237834,22036852,40790000,12840000,21500667,21056154
2020-10-27,86060000,10290000,29007278,27847038,86060000,10290000,26235223,24729375,40790000,10290000,22237834,22036852,40790000,12840000,21500667,21056154
2020-10-28,86060000,10290000,29079945,27927778,86060000,10290000,26254889,24751500,40790000,10290000,22321334,22129630,40790000,12840000,21634000,21142693
2020-10-29,86060000,10290000,29189667,28049321,86060000,10290000,26180223,24667500,40790000,10290000,22413167,22214075,40790000,12840000,22103334,21572308
2020-10-30,86060000,10290000,29275834,28145062,86060000,10290000,26184112,24671875,40790000,10290000,22529334,22343149,40790000,12840000,22775334,22347693
2020-10-31,86060000,10290000,29300278,28172223,86060000,10290000,26129556,24610500,40790000,10290000,22604000,22426112,40790000,12840000,22584000,22126924
2020-11-01,86060000,10290000,29340556,28216976,86060000,10290000,26110889,24589500,40790000,10290000,22644334,22470926,40790000,12840000,22553334,22091539
2020-11-02,86060000,10290000,29340556,28216976,86060000,10290000,26110889,24589500,40790000,10290000,22644334,22470926,40790000,12840000,22553334,22091539
2020-11-03,86060000,10290000,29340556,28216976,86060000,10290000,26110889,24589500,40790000,10290000,22644334,22470926,40790000,12840000,22553334,22091539
2020-11-04,86060000,10290000,29359945,28238519,86060000,10290000,25892445,24343750,40790000,10290000,22667500,22496667,40790000,12840000,22512334,22044231
2020-11-05,86060000,10290000,29247612,28113704,86060000,10290000,25868000,24316250,40790000,10290000,22672500,22502223,40790000,12840000,22466000,21990770
