date,max_180,min_180,mean_180,adjusted_mean_180,max_90,min_90,mean_90,adjusted_mean_90,max_60,min_60,mean_60,adjusted_mean_60,max_30,min_30,mean_30,adjusted_mean_30
2020-12-08,4580000,108900,903446,798062,4580000,234590,1427279,1334278,4580000,308430,1731549,1660869,4580000,897200,1817041,1677515
2020-12-09,4580000,108900,904356,799073,4580000,308430,1434885,1340127,4580000,308430,1740428,1669289,4580000,897200,1805679,1665155
2020-12-10,4580000,108900,906310,801244,4580000,308430,1436908,1342403,4580000,308430,1746792,1676359,4580000,897200,1776609,1631613
2020-12-11,4580000,108900,913168,808864,4580000,308430,1445130,1351653,4580000,308430,1764540,1696080,4580000,897200,1792942,1650459
2020-12-12,4580000,108900,915274,811204,4580000,308430,1444105,1350499,4580000,308430,1764614,1696162,4580000,881020,1772310,1628118
2020-12-13,4580000,108900,917484,813659,4580000,308430,1447876,1354741,4580000,308430,1776261,1705955,4580000,881020,1761310,1615426
2020-12-14,4580000,108900,917484,813659,4580000,308430,1447876,1354741,4580000,308430,1776261,1705955,4580000,881020,1761310,1615426
2020-12-15,4580000,108900,917484,813659,4580000,308430,1447876,1354741,4580000,308430,1776261,1705955,4580000,881020,1761310,1615426
2020-12-16,4580000,108900,922894,819671,4580000,308430,1454817,1362551,4580000,308430,1790353,1718226,4580000,881020,1755976,1609272
2020-12-17,4580000,108900,936490,834777,4580000,308430,1477634,1388220,4580000,308430,1827333,1757333,4580000,881020,1775643,1631964
2020-12-18,4580000,108900,944372,843535,4580000,308430,1487388,1399193,4580000,647330,1851359,1773426,4580000,881020,1752310,1605041
2020-12-19,4580000,108900,950654,850515,4580000,308430,1492869,1405359,4580000,728210,1862570,1781255,4580000,881020,1646976,1540426
2020-12-20,4580000,108900,961832,862935,4580000,308430,1509437,1423998,4580000,728210,1883292,1804279,3000000,881020,1567310,1515041
2020-12-21,4580000,108900,961832,862935,4580000,308430,1509437,1423998,4580000,728210,1883292,1804279,3000000,881020,1567310,1515041
2020-12-22,4580000,108900,961832,862935,4580000,308430,1509437,1423998,4580000,728210,1883292,1804279,3000000,881020,1567310,1515041
2020-12-23,4580000,108900,973345,875727,4580000,308430,1528157,1445058,4580000,881020,1909655,1830036,3000000,881020,1560643,1507349
2020-12-24,4580000,108900,989178,891530,4580000,308430,1557455,1478018,4580000,881020,1937322,1860777,3140000,881020,1565310,1507349
2020-12-25,4580000,108900,1002347,906038,4580000,308430,1580516,1503962,4580000,881020,1957155,1882814,3140000,881020,1580643,1525041
2020-12-26,4580000,108900,1008553,912933,4580000,308430,1590894,1515637,4580000,881020,1951822,1876888,3140000,881020,1576643,1520426
2020-12-27,4580000,108900,1008553,912933,4580000,308430,1590894,1515637,4580000,881020,1951822,1876888,3140000,881020,1576643,1520426
2020-12-28,4580000,108900,1008553,912933,4580000,308430,1590894,1515637,4580000,881020,1951822,1876888,3140000,881020,1576643,1520426
2020-12-29,4580000,108900,1008553,912933,4580000,308430,1590894,1515637,4580000,881020,1951822,1876888,3140000,881020,1576643,1520426
2020-12-30,4580000,108900,1018733,924244,4580000,308430,1606947,1533697,4580000,881020,1959988,1885962,3140000,881020,1590643,1536580
2020-12-31,4580000,108900,1031819,938784,4580000,308430,1632277,1560767,4580000,881020,1976655,1904480,3140000,881020,1646216,1600702
2021-01-01,4580000,108900,1037547,945149,4580000,308430,1643131,1571211,4580000,881020,1958655,1884480,3140000,881020,1655883,1611856
2021-01-02,4580000,108900,1043160,951378,4580000,308430,1649441,1578310,4580000,881020,1925822,1847999,3140000,881020,1652549,1608010
2021-01-03,4580000,108900,1043160,951378,4580000,308430,1649441,1578310,4580000,881020,1925822,1847999,3140000,881020,1652549,1608010
2021-01-04,4580000,108900,1043160,951378,4580000,308430,1649441,1578310,4580000,881020,1925822,1847999,3140000,881020,1652549,1608010
2021-01-05,4580000,108900,1043160,951378,4580000,308430,1649441,1578310,4580000,881020,1925822,1847999,3140000,881020,1652549,1608010
2021-01-06,4580000,108900,1058058,967561,4580000,308430,1669997,1601435,4580000,881020,1926822,1849110,3140000,881020,1719130,1680988
2021-01-07,4580000,108900,1068744,979383,4580000,308430,1684911,1618213,4580000,881020,1895155,1815777,3140000,881020,1759223,1726405
2021-01-08,7160000,108900,1107436,996386,7160000,308430,1757442,1649811,7160000,881020,1978655,1848184,7160000,881020,1945223,1779098
2021-01-09,7160000,108900,1131779,1013558,7160000,308430,1793442,1681561,7160000,881020,2004822,1875036,7160000,881020,2038557,1830636
2021-01-10,7160000,108900,1151938,1031018,7160000,308430,1827666,1720063,7160000,881020,2043822,1918369,7160000,881020,2071223,1868329
2021-01-11,7160000,108900,1151938,1031018,7160000,308430,1827666,1720063,7160000,881020,2043822,1918369,7160000,881020,2071223,1868329
2021-01-12,7160000,108900,1151938,1031018,7160000,308430,1827666,1720063,7160000,881020,2043822,1918369,7160000,881020,2071223,1868329
2021-01-13,7160000,108900,1169396,1049216,7160000,308430,1859506,1754362,7160000,881020,2074655,1952629,7160000,881020,2132557,1939098
2021-01-14,7160000,108900,1181878,1062817,7160000,308430,1875106,1771912,7160000,881020,2083655,1962629,7160000,881020,2169557,1981790
2021-01-15,7160000,108900,1189941,1071775,7160000,308430,1865439,1761037,7160000,881020,2081988,1960777,7160000,881020,2167223,1979098
2021-01-16,7160000,108900,1200688,1083717,7160000,308430,1873328,1769912,7160000,881020,2092988,1972999,7160000,881020,2202223,2019482
