date,max_180,min_180,mean_180,adjusted_mean_180,max_90,min_90,mean_90,adjusted_mean_90,max_60,min_60,mean_60,adjusted_mean_60,max_30,min_30,mean_30,adjusted_mean_30
2020-12-08,82520000,14510000,35992723,34879013,78980000,14510000,31616778,30571625,55230000,14510000,29427167,28940556,51200000,14510000,29658334,29270000
2020-12-09,82520000,14510000,35690723,34643519,78980000,14510000,31611667,30565875,55230000,14510000,29277167,28773889,51200000,14510000,29849667,29490770
2020-12-10,78980000,14510000,35358278,34415247,78980000,14510000,31294223,30208750,55230000,14510000,29148834,28631297,51200000,14510000,29368667,28935770
2020-12-11,78980000,14510000,35117945,34254630,59660000,14510000,30776445,29952000,55230000,14510000,29324834,28826852,51200000,14510000,29224667,28769616
2020-12-12,78980000,14510000,34904889,34059383,59660000,14510000,30521556,29665250,55230000,14510000,29324334,28826297,44390000,14510000,28396000,28088462
2020-12-13,78980000,14510000,34758945,33897223,59660000,14510000,30542778,29689125,55230000,14510000,29270334,28766297,44390000,14510000,28374000,28063077
2020-12-14,78980000,14510000,34758945,33897223,59660000,14510000,30542778,29689125,55230000,14510000,29270334,28766297,44390000,14510000,28374000,28063077
2020-12-15,78980000,14510000,34758945,33897223,59660000,14510000,30542778,29689125,55230000,14510000,29270334,28766297,44390000,14510000,28374000,28063077
2020-12-16,78980000,14510000,34564556,33717161,59660000,14510000,30495778,29636250,51200000,14510000,28823667,28477038,44390000,14510000,28089000,27734231
2020-12-17,78980000,14510000,34280334,33535494,59660000,14510000,30484112,29623125,51200000,14510000,28605834,28235000,44390000,14510000,27953334,27577693
2020-12-18,78980000,14510000,34151389,33409136,59660000,14510000,30462334,29598625,51200000,14510000,28626500,28257963,44390000,14510000,28195000,27856539
2020-12-19,78980000,14510000,34055667,33302778,59660000,14510000,30417334,29548000,51200000,14510000,28653167,28287593,44390000,14510000,27864667,27475385
2020-12-20,78980000,14510000,34177223,33389136,63120000,14510000,30807112,29859000,63120000,14510000,29185167,28525556,63120000,14510000,28766000,27781924
2020-12-21,78980000,14510000,34177223,33389136,63120000,14510000,30807112,29859000,63120000,14510000,29185167,28525556,63120000,14510000,28766000,27781924
2020-12-22,78980000,14510000,34177223,33389136,63120000,14510000,30807112,29859000,63120000,14510000,29185167,28525556,63120000,14510000,28766000,27781924
2020-12-23,78980000,14510000,34010334,33277038,63120000,14510000,30968000,30040000,63120000,14510000,29312334,28666852,63120000,14510000,29160667,28237308
2020-12-24,78980000,14510000,33786500,33078272,63120000,14510000,31018223,30068750,63120000,14510000,29153667,28490556,63120000,14510000,28430334,27407693
2020-12-25,78980000,14510000,33621500,32909692,63120000,14510000,31000889,30068750,63120000,14510000,29056334,28387223,63120000,14510000,27582667,26698462
2020-12-26,78980000,10550000,33394389,32720803,63120000,10550000,30881000,30051125,63120000,10550000,28668334,28105741,63120000,10550000,26953000,26282308
2020-12-27,78980000,10550000,33394389,32720803,63120000,10550000,30881000,30051125,63120000,10550000,28668334,28105741,63120000,10550000,26953000,26282308
2020-12-28,78980000,10550000,33394389,32720803,63120000,10550000,30881000,30051125,63120000,10550000,28668334,28105741,63120000,10550000,26953000,26282308
2020-12-29,78980000,10550000,33394389,32720803,63120000,10550000,30881000,30051125,63120000,10550000,28668334,28105741,63120000,10550000,26953000,26282308
2020-12-30,78980000,10550000,33260278,32586667,63120000,10550000,30771445,29941750,63120000,10550000,28511834,27947593,63120000,10550000,26824667,26134231
2020-12-31,78980000,10550000,33062834,32383334,63120000,10550000,30664223,29837375,63120000,10550000,28248167,27662778,63120000,10550000,26781334,26084231
2021-01-01,78980000,10550000,32947167,32254815,63120000,10550000,30485000,29635750,63120000,10550000,28228000,27640371,63120000,10550000,26620334,25898462
2021-01-02,78980000,10550000,32782889,32072284,63120000,10550000,30434445,29578875,63120000,10550000,28100667,27498889,63120000,10550000,26512334,25773847
2021-01-03,78980000,10550000,32782889,32072284,63120000,10550000,30434445,29578875,63120000,10550000,28100667,27498889,63120000,10550000,26512334,25773847
2021-01-04,78980000,10550000,32782889,32072284,63120000,10550000,30434445,29578875,63120000,10550000,28100667,27498889,63120000,10550000,26512334,25773847
2021-01-05,78980000,10550000,32782889,32072284,63120000,10550000,30434445,29578875,63120000,10550000,28100667,27498889,63120000,10550000,26512334,25773847
2021-01-06,78980000,10550000,32695834,31975556,63120000,10550000,30590667,29754625,63120000,10550000,28291000,27710371,63120000,10550000,26803334,26108462
2021-01-07,78980000,10550000,32624278,31896050,63120000,10550000,30415000,29557000,63120000,10550000,28355334,27781852,63120000,10550000,26770000,26070000
2021-01-08,78980000,10550000,32511167,31784692,63120000,10550000,30173223,29343500,63120000,10550000,28511667,27955556,63120000,10550000,27203334,26570000
2021-01-09,78980000,10550000,32471612,31740741,63120000,10550000,30187000,29359000,63120000,10550000,28296167,27716112,63120000,10550000,27265000,26641154
2021-01-10,78980000,10550000,32416889,31679939,63120000,10550000,30122223,29286125,63120000,10550000,28196000,27604815,63120000,10550000,26897000,26216539
2021-01-11,78980000,10550000,32416889,31679939,63120000,10550000,30122223,29286125,63120000,10550000,28196000,27604815,63120000,10550000,26897000,26216539
2021-01-12,78980000,10550000,32416889,31679939,63120000,10550000,30122223,29286125,63120000,10550000,28196000,27604815,63120000,10550000,26897000,26216539
2021-01-13,78980000,10550000,32354167,31610247,63120000,10550000,30101889,29263250,63120000,10550000,28188834,27596852,63120000,10550000,26964000,26293847
2021-01-14,78980000,10550000,32298445,31548334,63120000,10550000,29980556,29126750,63120000,10550000,28196000,27604815,63120000,10550000,27252334,26518077
2021-01-15,78980000,10550000,32218723,31459754,63120000,10550000,29554334,28737250,63120000,10550000,28095667,27493334,63120000,10550000,26818334,26017308
2021-01-16,78980000,10550000,32096556,31324013,63120000,10550000,29217000,28532500,63120000,10550000,28123500,27524260,63120000,10550000,26778334,25971154
2021-01-17,78980000,10550000,31973223,31192902,63120000,10550000,28981000,28373625,63120000,10550000,28272334,27689630,63120000,10550000,27043667,26277308
2021-01-18,78980000,10550000,31973223,31192902,63120000,10550000,28981000,28373625,63120000,10550000,28272334,27689630,63120000,10550000,27043667,26277308
2021-01-19,78980000,10550000,31973223,31192902,63120000,10550000,28981000,28373625,63120000,10550000,28272334,27689630,63120000,10550000,27043667,26277308
2021-01-20,78980000,10550000,31973223,31192902,63120000,10550000,28981000,28373625,63120000,10550000,28272334,27689630,63120000,10550000,27043667,26277308
2021-01-21,78980000,10550000,31920167,31133951,63120000,10550000,28804778,28195750,63120000,10550000,28390667,27821112,63120000,10550000,27200334,26458077
2021-01-22,78980000,10550000,31960500,31178766,63120000,10550000,28828889,28222875,63120000,10550000,28645334,28104075,63120000,10550000,27632334,26936154
2021-01-23,78980000,10550000,31926334,31140803,63120000,10550000,28796334,28186250,63120000,10550000,28842167,28322778,63120000,10550000,27834667,27169616
2021-01-24,78980000,10550000,31914945,31128149,63120000,10550000,28793112,28182625,63120000,10550000,28725167,28192778,63120000,10550000,28081667,27454616
2021-01-25,78980000,10550000,31914945,31128149,63120000,10550000,28793112,28182625,63120000,10550000,28725167,28192778,63120000,10550000,28081667,27454616
2021-01-26,78980000,10550000,31914945,31128149,63120000,10550000,28793112,28182625,63120000,10550000,28725167,28192778,63120000,10550000,28081667,27454616
2021-01-27,78980000,10550000,31941278,31157408,63120000,10550000,28918000,28323125,63120000,10550000,28664500,28125371,63120000,10550000,28104334,27480770
2021-01-28,78980000,10550000,32034556,31261050,63120000,10550000,29155000,28544125,63120000,10550000,28606167,28125371,63120000,10550000,28816334,27915000
2021-01-29,78980000,10550000,32248112,31397038,69330000,10550000,29547445,28673875,69330000,10550000,29237834,28365371,69330000,10550000,30101667,28566154
2021-01-30,78980000,10550000,32340667,31499877,69330000,10550000,29474889,28673875,69330000,10550000,29433167,28563889,69330000,10550000,30777334,29345770
2021-01-31,78980000,10550000,32327945,31485741,69330000,10550000,29503556,28706125,69330000,10550000,29626167,28778334,69330000,10550000,31299000,29947693
2021-02-01,78980000,10550000,32327945,31485741,69330000,10550000,29503556,28706125,69330000,10550000,29626167,28778334,69330000,10550000,31299000,29947693
2021-02-02,78980000,10550000,32327945,31485741,69330000,10550000,29503556,28706125,69330000,10550000,29626167,28778334,69330000,10550000,31299000,29947693
2021-02-03,78980000,10550000,32279556,31431976,69330000,10550000,29499556,28701625,69330000,10550000,29720334,28882963,69330000,10550000,31245667,29886154
2021-02-04,78980000,10550000,32163945,31303519,69330000,10550000,29444000,28639125,69330000,10550000,29445167,28577223,69330000,10550000,31025667,29632308
2021-02-05,78980000,10550000,32118000,31252470,69330000,10550000,29397778,28587125,69330000,10550000,29294500,28409815,69330000,10550000,29823000,28799231
2021-02-06,78980000,10550000,32109278,31242778,69330000,10550000,29351000,28534500,69330000,10550000,29294500,28409815,69330000,10550000,29428334,28343847
2021-02-07,78980000,10550000,32035223,31170988,69330000,10550000,29194667,28367250,69330000,10550000,28853500,27919815,69330000,10550000,29276667,28168847
2021-02-08,78980000,10550000,32035223,31170988,69330000,10550000,29194667,28367250,69330000,10550000,28853500,27919815,69330000,10550000,29276667,28168847
2021-02-09,78980000,10550000,32035223,31170988,69330000,10550000,29194667,28367250,69330000,10550000,28853500,27919815,69330000,10550000,29276667,28168847
2021-02-10,78980000,10550000,31996667,31128149,69330000,10550000,29169334,28338750,69330000,10550000,28489000,27514815,69330000,10550000,29395334,28305770
2021-02-11,78980000,10550000,32011723,31144877,69330000,10550000,29055000,28210125,69330000,10550000,28390667,27405556,69330000,17330000,29828334,28527693
2021-02-12,78980000,10550000,31934334,31058889,69330000,10550000,28999223,28147375,69330000,10550000,28399334,27415186,69330000,17330000,29974000,28689616
2021-02-13,78980000,10550000,31802000,30931482,69330000,10550000,28805334,27957125,69330000,10550000,28350500,27391112,69330000,15700000,29919667,28689616
2021-02-14,78980000,10550000,31705889,30837655,69330000,10550000,28752000,27912625,69330000,10550000,28210167,27235186,69330000,15700000,29800000,28605385
2021-02-15,78980000,10550000,31705889,30837655,69330000,10550000,28752000,27912625,69330000,10550000,28210167,27235186,69330000,15700000,29800000,28605385
2021-02-16,78980000,10550000,31705889,30837655,69330000,10550000,28752000,27912625,69330000,10550000,28210167,27235186,69330000,15700000,29800000,28605385
2021-02-17,78980000,10550000,31705889,30837655,69330000,10550000,28752000,27912625,69330000,10550000,28210167,27235186,69330000,15700000,29800000,28605385
2021-02-18,78980000,10550000,31618834,30740926,69330000,10550000,28729000,27886750,69330000,10550000,28249000,27278334,69330000,15700000,29985667,28819616
2021-02-19,78980000,10550000,31613167,30734630,69330000,10550000,28684223,27836375,69330000,10550000,28137000,27153889,69330000,15700000,29470667,28225385
2021-02-20,78980000,10550000,31535945,30659507,69330000,10550000,28650445,27803875,69330000,10550000,28005334,27007593,69330000,15700000,29240667,27960000
2021-02-21,78980000,10550000,31524000,30646235,69330000,10550000,28636000,27787625,69330000,10550000,28044000,27050556,69330000,15700000,28884667,27549231
2021-02-22,78980000,10550000,31524000,30646235,69330000,10550000,28636000,27787625,69330000,10550000,28044000,27050556,69330000,15700000,28884667,27549231
2021-02-23,78980000,10550000,31524000,30646235,69330000,10550000,28636000,27787625,69330000,10550000,28044000,27050556,69330000,15700000,28884667,27549231
2021-02-24,78980000,10550000,31566000,30692902,69330000,10550000,28590000,27735875,69330000,10550000,28221334,27247593,69330000,15700000,29177667,27887308
2021-02-25,78980000,10550000,31511445,30632284,69330000,10550000,28602445,27749875,69330000,10550000,28156167,27175186,69330000,15700000,29415334,28161539
2021-02-26,78980000,10550000,31472723,30589260,69330000,10550000,28633445,27784750,69330000,10550000,28243334,27272038,69330000,15700000,29522667,28285385
2021-02-27,78980000,10550000,31526389,30648889,69330000,10550000,28819112,27993625,69330000,10550000,28658834,27696297,69330000,15700000,30065334,28911539
2021-02-28,78980000,10550000,31492389,30611112,69330000,10550000,28949000,28139750,69330000,10550000,28737000,27783149,69330000,15700000,30655667,29592693
2021-03-01,78980000,10550000,31492389,30611112,69330000,10550000,28949000,28139750,69330000,10550000,28737000,27783149,69330000,15700000,30655667,29592693
2021-03-02,78980000,10550000,31492389,30611112,69330000,10550000,28949000,28139750,69330000,10550000,28737000,27783149,69330000,15700000,30655667,29592693
2021-03-03,78980000,10550000,31339223,30440926,69330000,10550000,28922889,28110375,69330000,10550000,28650000,27686482,69330000,15700000,30521667,29438077
2021-03-04,78980000,10550000,31224278,30313210,69330000,10550000,28922112,28109500,69330000,10550000,28632667,27667223,69330000,15700000,30221667,29091924
2021-03-05,78980000,10550000,31230667,30320309,69330000,10550000,29046556,28249500,69330000,10550000,28779334,27830186,69330000,15700000,30358334,29249616
2021-03-06,78980000,10550000,31241112,30331914,69330000,10550000,29292000,28525625,69330000,10550000,29108834,28196297,69330000,15700000,30585334,29511539
2021-03-07,78980000,10550000,31330334,30431050,69330000,10550000,29546112,28811500,69330000,10550000,29394334,28513519,69330000,15700000,30954000,29936924
2021-03-08,78980000,10550000,31330334,30431050,69330000,10550000,29546112,28811500,69330000,10550000,29394334,28513519,69330000,15700000,30954000,29936924
2021-03-09,78980000,10550000,31330334,30431050,69330000,10550000,29546112,28811500,69330000,10550000,29394334,28513519,69330000,15700000,30954000,29936924
2021-03-10,78980000,10550000,31396112,30504136,69330000,10550000,29521556,28783875,69330000,10550000,29598000,28739815,69330000,15700000,31114334,30121924
2021-03-11,78980000,10550000,31332278,30433210,69330000,10550000,29479889,28737000,69330000,10550000,29607500,28750371,69330000,15700000,31110667,30117693
2021-03-12,78980000,10550000,31314612,30413581,69330000,10550000,29240334,28552000,69330000,10550000,29662500,28811482,69330000,15700000,30508667,29423077
2021-03-13,78980000,10550000,31308889,30407223,69330000,10550000,29223223,28532750,69330000,10550000,29647834,28795186,48700000,15700000,29194000,28863462
2021-03-14,78980000,10550000,31230556,30320186,69330000,10550000,29063889,28353500,69330000,10550000,29551334,28687963,44440000,15700000,28325334,28102693
2021-03-15,78980000,10550000,31230556,30320186,69330000,10550000,29063889,28353500,69330000,10550000,29551334,28687963,44440000,15700000,28325334,28102693
2021-03-16,78980000,10550000,31230556,30320186,69330000,10550000,29063889,28353500,69330000,10550000,29551334,28687963,44440000,15700000,28325334,28102693
2021-03-17,78980000,10550000,31220778,30309321,69330000,10550000,29010556,28293500,69330000,10550000,29539167,28674445,44440000,15700000,27779334,27498462
2021-03-18,78980000,10550000,31072945,30155926,69330000,10550000,29016778,28300500,69330000,10550000,29427667,28550556,44440000,15700000,27609667,27302693
